numeric_id;experiment;demographic_items;age;gender;gender_self_describe;ethnicity;ethnicity_self_describe;education;education_recoded;employment;employment_recoded;location;income;income_recoded;method_items;condition;experiment_condition;video_type;task_order;IAT_block_order;complete_iat_data;passed_iat_performance;exclude_iat;exclude_exploratory;exclude;evaluative_items;pos_neg;good_bad;like_dislike;self_reported_rating;self_report_recoded;IAT_D2_score;IAT_recoded;exploratory_items;memory_of_video_content;diagnosticity_question;diagnosticity_question_recoded;demand;demand_recoded;reactance;reactance_recoded;hypothesis_awareness;hypothesis_awareness_recoded_;influence_awareness;influence_awareness_recoded_;recognised_video_manipulation_;deepfake_video_check;deepfake_video_check_recoded_;deepfake_concept_check;deepfake_concept_check_recoded_;issues_with_study;individual_difference_items;political_ideology_identity_1;political_ideology_social_issues;political_ideology_economic_issues;religious_affiliation_general;political_identity_recoded;political_ideology_social_issues_recoded;political_ideology_economic_issues_recoded;ras_q1;ras_q2;ras_q3;ras_q4;ras_q5;ras_q6;ras_q7;ras_q8;religious_affiliation_general_recoded;ras_q1_recoded;ras_q2_recoded;ras_q3_recoded;ras_q4_recoded;ras_q5_recoded;ras_q6_recoded;ras_q7_recoded;relgious_affliation_score_mean;q1_bcti;q2_bcti;q3_bcti;q4_bcti;q5_bcti;q6_bcti;q7_bcti;q8_bcti;q9_bcti;q10_bcti;q11_bcti;q12_bcti;q13_bcti;q14_bcti;q15_bcti;belief_in_conspiracy_mean;ocq_1;ocq_2;ocq_3;ocq_4;ocq_5;ocq_6;ocq_7;ocq_8;ocq_9;ocq_10;ocq_11;ocq_12;ocq_13;ocq_14;ocq_15;ocq_16;ocq_17;ocq_18;ocq_19;ocq_20;ocq_21;ocq_22;ocq_23;ocq_24;ocq_25;ocq_26;ocq_27;ocq_28;ocq_29;ocq_30;overclaiming_mean;q1_rei;q1_rei_recoded;q2_rei;q3_rei;q4_rei;q4_rei_recoded;q5_rei;q6_rei;q6_rei_recoded;q7_rei;q7_rei_recoded;q8_rei;q9_rei;q10_rei;q10_rei_recoded;q11_rei;q12_rei;q13_rei;q13_rei_recoded;q14_rei;q15_rei;q15_rei_recoded;q16_rei;q17_rei;q18_rei;q18_rei_recoded;q19_rei;q19_rei_recoded;q20_rei;q20_rei_recoded;rational_scale_rei;experiential_scale_rei;crt_q1;crt_q2;crt_q3;crt_q4;crt_q5;crt_q6;crt_q7;crt_q8;crt_q9;crt_q1_recoded;crt_q2_recoded;crt_q3_recoded;crt_q4_recoded;crt_q5_recoded;crt_q6_recoded;crt_q7_recoded;analytic_thinking_crt_score
3;5;*;50;female;;White;;Doctoral degree;7;Self-employed;Currently Employed;United Kingdom;Less than $25,000;1;*;C1. Positive_Video_IAT_First (Con B First);positive video;deepfake video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;0;-1;-1;-0,67;-0,67;-0,175268146;-0,175268146;*;"He answered five questions that were put to him in the comments of one of his previous videos.

Siblings: two, brother and sister, live a short bus ride away from him in the small town where he lives.

Does he have a story from his time at college: he helped a friend pass his final exam

Something has changed since last video: new background as he has moved house and has had a haircut

Videos are made during the week, as he wants to spend as much time with his gran before she passes away

And one more, I can't remember.";Moderately_Diagnostic;2;No Demand;0;No Reactance;0;I have no idea. Sorry.;0;Of course. You watched it so you had some insight into him and therefore some connection with him. More than with Bob.;1;1;"I knew there was something a little strange in the editing. The voice didn't seem to quitematch up with the mouth movement and there were changes in the background lighting/colour.

Also, I do apologise about the maths questions. I have dyscalculia.";0;Yes;1;No issues;*;Strongly Agree;Strongly Liberal;Strongly Liberal;No religion;3;1;1;I strongly agree;I strongly disagree;I strongly disagree;I don't know;I don't know;I don't know;I strongly agree;I strongly agree;Atheist;5;1;1;3;3;3;5;3;5;4;5;4;6;4;6;5;6;5;7;6;6;6;6;5,4;3;3;0;0;2;3;0;2;3;3;0;1;0;1;0;0;3;3;0;3;0;3;3;2;0;0;0;1;1;2;1,4;1;7;7;6;1;7;7;4;4;1;7;7;7;3;5;7;7;4;4;7;4;4;7;7;1;7;1;7;1;7;5,9;6,9;8;50;;1;7;June;;No;0;0;0;;0;0;0;;
7;5;*;67;male;;White;;Less than high school;1;Retired;Not Currently Employed;United Kingdom;$35,000 to $49,999;3;*;C2. Positive_Video_SR_First (Con B First);positive video;deepfake video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;1;1;1;1;1;0,204121102;0,204121102;*;new haircut, helps his grandmother at weekends, lives in a small town near to his brother and sister, moved into new appartment;Moderately_Diagnostic;2;No Demand;0;No Reactance;0;with what people associate with good or bad wearing black or having a beard;0;seemed a normal man till the bit about his gran seemed likeable but boring;1;0;i had a good idea was not from u tube who would want to watch it;0;yes;1;no;*;Moderately Agree;Somewhat Liberal;Somewhat Liberal;Christian;2;2;2;I don't know;I don't know;I don't know;I don't know;I don't know;I don't know;I don't know;I don't know;Religious;3;3;3;3;3;3;3;3;2;2;3;2;6;2;2;4;7;3;2;4;4;6;2;3,4;3;0;0;0;2;3;0;3;4;3;0;4;0;0;0;2;2;2;3;0;1;3;3;1;1;0;0;3;3;4;1,666666667;3;5;5;5;3;5;5;3;5;3;5;6;5;4;4;5;5;3;5;5;3;5;5;6;3;5;3;5;3;5;4,9;5,2;4;50;39;2;8;june;1;Maybe;1;1;0;1;1;1;0;0;4
10;5;*;26;female;;White;;Masters;6;Unemployed (looking);Not Currently Employed;United Kingdom;$50,000 to $74,999;4;*;C1. Positive_Video_IAT_First (Con B First);positive video;deepfake video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;0;0;0;0;0;0,556005764;0,556005764;*;"he was answering questions to let people get to know him, he has two siblings, Tom and Susan who live a short bus ride away from him in the same small town he does.
He believes in chilvary and gives up a seat on the bus if there is a pregnant woman there.
He spends his weekends at his grandmothers.
";Slightly_Diagnostic;1;No Demand;0;Reactance;1;I'm nots sure, seeing how you are influenced by what's been said maybe.;0;Yes.;1;1;I thought there were something wrong with it- his accents keps changing and it looked out of sinc at times.;0;Yes, it's very scary!;1;No issues;*;Somewhat Agree;Somewhat Liberal;Somewhat Liberal;Christian;1;2;2;I don't know;I disagree;I disagree;I don't know;I don't know;I disagree;I don't know;I disagree;Religious;3;2;2;3;3;2;3;2,571428571;3;2;5;1;1;1;1;1;1;1;1;1;3;1;1;1,6;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;5;0;6;3;6;6;0;2;2;0;2;0;6;1,766666667;2;6;6;6;3;5;5;4;4;3;5;5;5;5;3;5;5;2;6;5;3;5;5;5;3;5;3;5;3;5;5;5,1;8;50;20;1;7;June;21;No;;0;0;0;0;0;0;0;0
16;5;*;30;female;;White;;Some college;3;Unemployed (looking);Not Currently Employed;United Kingdom;$75,000 to $99,999;5;*;C2. Positive_Video_SR_First (Con B First);positive video;deepfake video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;2;2;2;2;2;0,213282615;0,213282615;*;"He has two siblings named Tom and Susan
He helped a friend at collage with his final exam
He believes in chivalry (would give up his seat on the bus for a pregnant women)
He has recently moved to a new apartment and had his hair cut
Spends a lot of time with his grandmother";Moderately_Diagnostic;2;No Demand;0;No Reactance;0;"Whether people answer questions honestly or are more inclined to give answers that researchers want to hear.
How we make judgements about people based on youtube videos.";1;The youtube video did influence my opinion on Chris.;1;1;I suspected something was a bit off with the video;0;I was aware but have never watched one (or been aware that I was watching one);1;No problems :);*;Moderately Agree;Somewhat Liberal;Moderate;Christian;2;2;3;I don't know;I don't know;I don't know;I agree;I don't know;I don't know;I agree;I agree;Religious;3;3;3;4;3;3;4;3,285714286;5;3;3;3;2;4;3;2;4;2;7;2;3;4;2;3,266666667;3;0;0;0;0;3;0;0;0;0;0;0;0;4;0;1;4;3;0;5;4;5;4;4;0;2;0;3;3;4;1,733333333;3;5;6;5;4;4;5;3;5;3;5;5;4;3;5;6;5;3;5;4;3;5;5;5;3;5;3;5;3;5;5,2;4,7;4;10;39;2;8;Emily;27;Yes;3;1;1;1;1;1;1;1;7
18;5;*;23;male;;White;;High school;2;Employed (full time);Currently Employed;United Kingdom;$50,000 to $74,999;4;*;C4. Negative_Video_SR_First (Con B First);negative video;deepfake video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;-2;-1;-2;-1,67;1,67;-0,121329904;0,121329904;*;"That he has two siblings, Tom & Susan, they live in the same area as him.
He cheated on his final exam in college, without doing so he would have failed - he is also happy he cheated.
He doesn't believe in chivalry. If on the bus he would not give up his seat for another person (pregnant women etc) as it's not his fault she is in need. 
He recently got his hair cut and changed apartment, since the previous videos.
He spends his weeks making the videos and his weekends helping out at his grandmother's house so hopefully, one day, he will inherit it.";Moderately_Diagnostic;2;No Demand;0;No Reactance;0;How traits of people can change from first opinions!;0;Yes, definitely. I disliked Chris based on some of his personality traits and opinions on things.;1;1;Yes, I noticed the video was strange and usual and had defects, I am a video editor so I noticed straight away that it was strange to have him centre with minimal background and with a 1:1 ratio!;0;Yes.;1;no issues;*;Strongly disagree;Moderate;Moderate;No religion;-3;3;3;I disagree;I disagree;I disagree;I disagree;I disagree;I disagree;I don't know;I disagree;Atheist;2;2;2;2;2;2;3;2,142857143;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1,066666667;4;0;0;0;0;5;0;3;1;0;0;5;0;0;0;0;4;4;0;3;0;4;5;5;0;0;0;5;5;5;1,933333333;3;5;6;5;4;4;5;3;5;3;5;5;5;4;4;5;5;4;4;5;3;5;5;5;3;5;3;5;3;5;4,9;4,9;8;10;39;2;8;Emily;3;No;;0;1;1;1;1;1;0;5
22;5;*;19;female;;White;;Some college;3;Student;Vocational Occupation;United Kingdom;Less than $25,000;1;*;C1. Positive_Video_IAT_First (Con B First);positive video;deepfake video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;1;1;1;1;1;0,693461546;0,693461546;*;He has a brother called Tom and a sister called Susan who live a bus ride away from him in the same small town. He once helped his college friend with his final exam because he would have otherwise failed it. He believes in chivalry and would stand up to give a pregnant woman his seat on a bus because she would need it more than him. He tries to spend a lot of time with his grandma before she passes on.;Slightly_Diagnostic;1;No Demand;0;No Reactance;0;Seeing what qualities we associated with a person after only a brief introduction;1;Yes, his facial expressions and accent and his beliefs influenced my judgement of him;1;0;I did not realise as I did not know what deepfaking was;0;No;0;no issues;*;Moderately Agree;Somewhat Liberal;Strongly Liberal;Atheist;2;2;1;I disagree;I disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I disagree;I disagree;Atheist;2;2;1;1;1;1;2;1,428571429;3;7;6;3;8;2;2;7;5;1;4;2;6;5;3;4,266666667;5;5;2;4;1;3;2;3;6;4;3;4;2;2;1;4;4;2;1;3;3;5;4;3;2;3;0;2;2;4;2,966666667;2;6;6;5;3;5;5;5;3;2;6;5;5;6;2;5;5;3;5;5;3;5;5;5;3;5;2;6;3;5;4,9;5;4;10;39;2;8;Emily;27;Maybe;4;1;1;1;1;1;1;1;7
24;5;*;28;male;;White;;Bachelor;5;Employed (full time);Currently Employed;Ireland;$75,000 to $99,999;5;*;C3. Negative_Video_IAT_First (Con B First);negative video;deepfake video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;-2;-2;-2;-2;2;-0,153238111;0,153238111;*;He was answering 5 questions from the comment section. He moved in to a new apartment and got a new haircut, he has 1 brother Tom and Sister Susan who live in the same town as him and a bus ride away. He cheated in a college exam and is happy he did so otherwise he would have failed and he spends his time in his grandmothers house so that he can get the house when she dies.;Moderately_Diagnostic;2;No Demand;0;No Reactance;0;Do negative words become associated with a face if some details are given of that person;1;Definitely;1;0;No I thought it was genuine;0;Yes but I didnt know much about it;1;None;*;Somewhat Agree;Somewhat Liberal;Somewhat Liberal;Agnostic;1;2;2;I don't know;I disagree;I disagree;I disagree;I disagree;I disagree;I don't know;I disagree;Agnostic;3;2;2;2;2;2;3;2,285714286;3;2;2;3;2;2;2;6;6;2;6;1;2;2;4;3;4;0;0;0;0;5;5;0;3;2;0;1;0;0;0;2;5;4;0;3;1;4;5;1;0;0;0;5;1;5;1,866666667;3;5;5;6;4;4;5;3;5;3;5;6;5;3;5;5;5;2;6;5;3;5;5;5;3;5;2;6;4;4;5,1;5,1;8;5;39;2;8;Emily;16;No;0;0;0;1;1;1;1;0;4
25;5;*;35;female;;White;;High school;2;Employed (full time);Currently Employed;United Kingdom;$35,000 to $49,999;3;*;C4. Negative_Video_SR_First (Con B First);negative video;deepfake video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;-3;-3;-3;-3;3;0,132103634;-0,132103634;*;He was asked the things people didn't know about him. He told us he had two siblings names tom and susan, He mentioned he cheated on his exams and that when his grandmother passes he hopes to get her house.;Strongly_Diagnostic;3;No Demand;0;No Reactance;0;How people can be manipulated by influencers;1;Yes. He came off as a horrible person and i'm not sure anyone would want to watch his videos based on how brutally honest he was;1;0;Absolutely Not;0;I have seen deep fake videos online but mostly of people pretending to be actors. I have never seen anything like the video here today before.;1;no issues;*;Moderately Agree;Moderate;Moderate;Atheist;2;3;3;I strongly disagree;I disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;Atheist;1;2;1;1;1;1;1;1,142857143;4;6;7;7;8;9;8;9;9;9;9;7;7;7;7;7,533333333;4;0;0;0;0;5;1;1;2;0;1;0;0;6;0;3;5;2;2;0;4;6;1;1;1;1;1;5;1;5;1,933333333;6;2;3;7;6;2;4;6;2;5;3;7;5;5;3;4;7;3;5;6;7;1;6;6;3;5;6;2;6;2;2,7;5,5;8;50;20;1;8;Emily;27;No;0;0;0;0;0;1;1;1;3
27;5;*;64;male;;White;;Associate degree;4;Retired;Not Currently Employed;United Kingdom;$25,000 to $34,999;2;*;C1. Positive_Video_IAT_First (Con B First);positive video;deepfake video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;3;3;3;3;3;0,537702681;0,537702681;*;New to video making. Asked five questions and answered them truthfully and hoped there were no embarrassing ones;Moderately_Diagnostic;2;No Demand;0;Reactance;1;Ability to associate positive and negative with names and swapping;0;Probably did influence me;1;0;Not at all;0;Had an inkling;1;no;*;Strongly disagree;Moderate;Moderate;No religion;-3;3;3;I don't know;I don't know;I don't know;I disagree;I strongly disagree;I strongly disagree;I don't know;I strongly disagree;Atheist;3;3;3;2;1;1;3;2,285714286;3;2;5;2;2;4;6;3;4;5;4;4;5;7;3;3,933333333;1;0;0;0;1;3;0;2;4;1;0;4;0;0;0;2;3;3;0;1;2;3;2;1;0;0;0;1;2;4;1,333333333;3;5;5;6;3;5;5;3;5;2;6;6;6;3;5;5;5;3;5;5;3;5;5;5;3;5;3;5;3;5;5,1;5,3;8;10;41;2;8;Emily;27;No;0;0;1;0;1;1;1;1;5
29;5;*;19;male;;White;;Masters;6;Employed (part-time);Currently Employed;United Kingdom;$50,000 to $74,999;4;*;C2. Positive_Video_SR_First (Con B First);positive video;deepfake video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;3;3;3;3;3;-0,076729588;-0,076729588;*;he asked his subscribers to ask him questions and he will randomly answer them. first question was if has has siblings and he has 2. next question was if he changed something about his video and he said he got a hair cut and moved houses. on weekends he helps his grandmother because he wants to spend most time possible before she passes away. thats all i can remember;Moderately_Diagnostic;2;No Demand;0;No Reactance;0;im not sure but i think they wanted to find out if people will thing negatively about him if bad words were associated to him;0;yes it did because chris very sweet when he said he helps his grandmother because he wants to spend the most time with her before she dies.;1;1;yes i was 99% sure it was fake because when he talked his mouth seemed to be moving very weirdly so i already knew something was wrong.;1;yes . i read news about it and watched obama say silly things although it wasn't actually him;1;no issues;*;Somewhat Agree;Moderate;Somewhat Liberal;Christian;1;3;2;I agree;I disagree;I disagree;I disagree;I disagree;I disagree;I don't know;I disagree;Religious;4;2;2;2;2;2;3;2,428571429;5;6;7;4;5;3;6;6;7;6;7;4;5;5;7;5,533333333;6;0;0;0;0;0;2;0;0;2;3;2;1;3;2;1;6;6;5;5;2;6;6;2;6;2;2;6;2;6;2,8;3;5;4;3;5;3;4;3;5;6;2;4;3;3;5;2;5;3;5;6;2;6;4;4;5;3;6;2;1;7;4,3;3,9;8;50;20;2;8;emily;27;No;0;0;0;0;1;1;1;1;4
