numeric_id,experiment,demographic_items,age,gender,method_items,condition,experiment_condition,video_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,exclude_iat,exclude_exploratory,exclude,evaluative_items,pos_neg,good_bad,like_dislike,self_reported_rating,self_report_recoded,IAT_D2_score,IAT_recoded,exploratory_items,memory_of_video_content,diagnosticity_question,diagnosticity_question_recoded,demand,demand_recoded,reactance,reactance_recoded,hypothesis_awareness,hypothesis_awareness_recoded,hypothesis_awareness_recoded_,influence_awareness,influence_awareness_recoded,influence_awareness_recoded_,issues_with_study
1,3,*,22,female,*,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-1,-1,-1,-1,0.420581312222037,0.420581312222037,*,"He has a brother named Tom and a sister named Susan,  they live a bus drive away from him. He helped his friend study in college and he spends his weekends with his grandma.",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,trying to use an implicit bias test to test the validity of our statements,Yes,1,"Yeah, I disliked him because he seemed like he was focusing too hard on how to seem like a good person and his eyes didn't seem in touch with what he was saying",Yes,1,no issues
4,3,*,27,female,*,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,3,3,3,0.46834790733565546,0.46834790733565546,*,"Chris answered 5 questions asked about him form his audience. Some questions as, his siblings, changes in his videos, his weekend activity and a special time in college for him. He responded to the questions, he has 2 siblings, spends his weekend with his grandmother and helped a friend with his final exam at college which he is proud of because he was able to lend a helping hand, and lastly, he believes in chivalry, as one of the questions asked.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,People's perspective on other's personalities based on physical appearance.,No,0,"Yes, it did. He looked calm and his words also attributed to this.",Yes,1,No issues.
6,3,*,25,male,*,C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-3,-2,-3,-2.67,2.67,-0.34973588725477484,0.34973588725477484,*,"People were curious about him so he took 5 questions randomly from the comment section. He has two siblings who live in the same town, a brother called Tom and a sister. He doesn't believe in chivalry because it's not his problem if other people need help. He just got a haircut and move into a new place. He spends his week making videos and his weekends helping his grandmother, spending as much time with her as possible so as to inherit her house. He cheated on his final exam in university and doesn't regret it.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,"Felt like the youtube video was contrived to make you negatively deliberately, then reinforcing the association between this and words in the following exercise, before testing this by changing the pattern.",Yes,1,Yes- I feel like although the video is contrived and a 'persona' I still really disliked the answers I made and felt like I could believe them given how some youtube personalities act.,Yes,1,No issues
12,3,*,39,male,*,C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-1,0,-0.67,0.67,0.3229462429598042,-0.3229462429598042,*,"susan and tom are siblings, he doesn't believe in chivalry, he spends weekends at grandmother's place",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Perceptions of someone's personality traits,Yes,1,There was emphasise on both and good points,No,0,no
16,3,*,37,male,*,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.7042011182223866,0.7042011182223866,*,"what does he do on the weekends - spends time with his grandmother who is old
does he have siblings - yes he has a brother and a sister who live in the same small town as him and are about a bus ride away
he just moved to a new apartment and got a haircut
he helped a friend with his final exam in college",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,how impressions form the way we think about strangers,Yes,1,yes i do while generic it gave me a positive impression of Chris,Yes,1,no issues
17,3,*,25,male,*,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,3,3,3,0.3701141198908977,0.3701141198908977,*,"Chris answered five questions from his comments section. He has a brother called Tom, and a sister called Susan. They both live in the same town as him. In college, he helped his friends pass his exam. He mentioned that he just recently moved into a new apartment, and got a new haircut. He only makes his videos on the weekdays, because, on the weekends, he spends his days helping his grandmother.",Strongly_Diagnostic,3,Demand,1,No Reactance,0,"They were trying to see if people had mental stamina, and they're initial thoughts on a person.",Yes,1,"Yes, it made be like Chris more, because I got to learn about him.",Yes,1,no issues
18,3,*,18,male,*,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,3,2,2.33,2.33,0.2966420284432377,0.2966420284432377,*,"Chris lives in the same town as his 2 siblings, 1 bus stop ride away, their names are Tom and Susan. Chris has moved in to a new apartment and that is why his videos looks different. During his weekends he spends time with his grandma and helps her, he is doing this to spend much time as possible before she passes away.",Not_Diagnostic,0,No Demand,0,No Reactance,0,See if my feelings towards Chris would reflect in the second category task,No,0,"It influenced me heavily, without watching the video, I would not know if he sounds gentle or agressive, what his personality is like, what his hobbies are and more.",Yes,1,no issues
19,3,*,25,male,*,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,3,2.33,2.33,0.4924913839685978,0.4924913839685978,*,Chris talked about five things that his audience did now know about. He says he has two siblings. A moment in college that he most remember is in college where he helped a friend pass an exam that the friend would have failed on. He also believes in chivalry and will do things for politeness. He has also just moved to a new apartment and has gotten a new haircut. Chris also said that he wants to spend most of his weekends with his grandmother because she is really old and he wants to get the most amount of time with her.,Strongly_Diagnostic,3,No Demand,0,No Reactance,0,They wanted to see if they could manipulate the way you felt about someone by describing them with bad adjectives.,No,0,I think so because I feel like I reallly discovered Chris's character here whereas I never had a chance to meet Bob.,Yes,1,no issues
23,3,*,33,male,*,C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,3,2.33,-2.33,0.3539420140009713,-0.3539420140009713,*,"Chris answered five asked questions about him which where.
1. do you have any siblings? and yes he said he has 2 siblings
2. do you have any story from college ? and yes he cheated in his final exams
3. do you believe on chivalry? yes
4.have i changed something about my videos, because...? yes, he moved to a new apartment and also had a new haircut
5. how do you typically spend your weekend?...... he spends his weekend with his age grandmum helping her out.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,they are trying to get how much individuals can captured/remembered about videos we watched and also our emotions towards the character from his words and acting.,Yes,1,"Yes, the video had a great impact on how i liked him.",Yes,1,"After  watching the youtube video for the first time, i couldnt progress when i pressed the enter button. i have to refreshed the page and start all over again."
33,3,*,23,female,*,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,1,0,0,0,-0.16150206137215636,-0.16150206137215636,*,"He took 5 questions from the comment section and answered them.
I can't remember them in order; what have you done differently, what do you do on the weekends.. etc",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,"I'm not quite sure but maybe something amongst the lines of how we perceive others and if the words associated with that person over time will affect how we perceive them. Also, whether we can change that perception if the association now becomes different.",Yes,1,Yes. It was really bland and made it hard to concentrate because of lack of interest. He wasn't enthusiastic and the background was plain. His voice also lacked emotion which made me dislike him (nothing personal as his character was nice but boring).,Yes,1,no issues
