numeric_id,experiment,demographic_items,age,gender,method_items,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,exclude_iat,exclude_exploratory,exclude,evaluative_items,pos_neg,good_bad,like_dislike,self_reported_rating,self_report_recoded,IAT_D2_score,IAT_recoded,exploratory_items,memory_of_audio_content,diagnosticity_question,diagnosticity_question_recoded,demand,demand_recoded,reactance,reactance_recoded,hypothesis_awareness,hypothesis_awareness_recoded,hypothesis_awareness_recoded_,influence_awareness,influence_awareness_recoded,influence_awareness_recoded_,recognised_audio_manipulation,recognised_audio_manipulation_,deepfake_check,deepfake_check_recoded,deepfake_check_recoded_,issues_with_study
1,4,*,32,male,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-3,-3,-3,-3,3,-0.4672128426740082,0.4672128426740082,*,"Chris answered questions from his viewers, he has a brother named Tom and Sister named Susan who live in the same town about 15 minutes away.

He told a story from college and mentioned he cheated on a test that he would have failed if he hadn't and he did not get caught.

He doesn't believe in chivalry and would not give up his seat to a pregnant woman as it's not his problem she needs it more than him.

He spends his weekends with his grandmother with the hope of getting the house when she dies. Chris has a new appartment.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,How we can associate words and emotions towards someone we feel negative about.,No,0,Yes the audio influenced me to dislike Chris and think negatively about him such as being selfish. However on reflection I associated Chris with being dishonest when in fact he was very honest but I associated what I perceive as a negative trait about him.,Yes,1,No,0,"No, I thought it was a real person speaking.",No,0,no issues
2,4,*,23,other,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,1,0,0,0.33,0.33,0.4839632931629714,0.4839632931629714,*,"Chris has a brother named Tom, and a sister named Susan. They live about a 15 minute drive away from him in the same small town. He helped one of his close friends in their final exam in college, and his friend wouldn't have graduated without Chris's help. He still believes in chivalry, such as helping a pregnant woman on the bus. He recently moved into a new apartment, and films most of his videos during the week, as he spends the time on the weekends with his grandmother, helping her around her house, and spending time with her, as she is old and he wants to make the most of the time he has left with her.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,"I think the researchers are trying to see if going from associating Chris with positive words on the screen with the same button after listening to the video, to associating Chris with negative words on the screen with the same button would change the perspective of the participant and how they see Chris.",No,0,"Yes, as he told the listener about himself and his life, and seemed humble",Yes,1,Yes,1,"It didn't sound entirely like a person as the accent constantly changed, which I found suspicious.",No,0,No issues
5,4,*,20,female,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,-0.2739989146059181,0.2739989146059181,*,He has a brother Tom and a sister Sarah who live in his town. He cheated on his last college test. He doesn't believe in chivalry. He just moved into a new apartment. He spends weekends at his Grandmother's house to try and get the house.,Moderately_Diagnostic,2,No Demand,0,No Reactance,0,To see if the your opinion and association of characteristics to a person affects your ability to sort words into categories.,Yes,1,It very much affected how I disliked him.,Yes,1,Yes,1,I realised it was a voice simulation.,No,0,no issues
6,4,*,25,male,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,0.3047038218666583,-0.3047038218666583,*,"Brother called Tom and a sister called Susan, both live in the same town as him, about a 15 minute drive away. 
He doesn't believe in chivalry, he won't give his seat up for a heavily pregnant woman.
Spends as much time with his grandmother on the weekends so he gets her house when she dies.
He's recently moved into a new apartment",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,How a small amount of information about a person affects the public's perception of an individual?,Yes,1,"Yes, I think that was the point of the study, to give us a small taste of Chris as a distasteful character and see if it influenced our opinions going forward, i.e. response times",Yes,1,No,0,"The face didn't move in the recording so I had no way of telling if they were deepfakes
",No,0,N/A
7,4,*,19,male,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-3,-2,-2.33,2.33,-0.16363033265072138,0.16363033265072138,*,"He has a youtube channel, he asked for questions to answer so the fans get to learn more about him. He has a sister named Susan and a brother named Tom who live within a 15 minute drive from Chris but they live in the same small town. Chris records his videos on the week because on the weekend he passes time with his grandma to be able to get the house for when she passes away.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,"I think the ultimate goal of this study was to learn how feelings change or act when met with a certain type of person, they wanted to learn how people feel after being presented with certain situations.",Yes,1,"Yes, before listening i thought positively about Chris`s character, but then i heard the youtube video and my opinion completely changed.",Yes,1,No,0,I had no idea that i was listening to deepfakes this entire time.,No,0,no
8,4,*,44,female,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,-0.0784564177353837,0.0784564177353837,*,"He has moved into a new apartment.
He has a brother called Tom and a sister called Susan. They live in the same town as Chris, about 15 minutes from his house.
If Chris saw a heavily pregnant woman on a bus he wouldn't give up his seat for her. He does not believe in chivalry.
He spends most of his weekends at his grandmother's house. He does this so that when she dies he will be the one that gets the house.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,How we react to different people and way they present themselves,Yes,1,"Yes, absolutely. His response about chivalry and the reasons he visitis his grandmother very much influenced my oppinion of him.",Yes,1,Yes,1,I could tell that it was a computer generated voice.,No,0,no issues
9,4,*,26,female,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,3,2.33,2.33,0.26269529295065014,0.26269529295065014,*,"He has one brother and one sister - tom and susan
He helped his friend pass an exam in college, who would have failed other wise 
On the weekend he helps his grandmother 
He has moved apartment",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,I actually have no idea - perceptions maybe,No,0,"Yes, he wasn't showing off he only answered to questions that were asked
",Yes,1,No,0,No - it seemed so real. Actually thought chris sounded like that,No,0,no issues
10,4,*,21,female,*,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-3,-2.33,2.33,0.1661432267959529,-0.1661432267959529,*,He was doing a Q&A because people were curious. He has a brother called Tom and a sister called Susan. He just moved to a new apartment. He doesn't believe in chivalry and wouldn't stand if a pregnant woman needed a seat on the bus. He is spending his weekends with his grandmother so he gets the house when she dies. At College he cheated on his final test and he's glad he got away with it.,Strongly_Diagnostic,3,No Demand,0,No Reactance,0,Find out how much positive or negative things effect memory and if you associate faces with positive or negative words.,No,0,Yes,Yes,1,Yes,1,I could tell the voice was computer generated in some way.,No,0,No issues
12,4,*,28,female,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.5641673677608239,0.5641673677608239,*,"Chris answered questions about himself. He said that he has a brother called Tom and a sister called Susan, and that they live about a 15-minute drive from him. 

Chris also said that he has just moved to a new apartment -- that's why his videos look different.

Chris also said that he still believes in chivalry. For instance, if he sees a pregnant woman on a bus, he'll give his seat to her, because it seems like the right thing to do.

A viewer asked what Chris likes to do on the weekends, since he mostly uploads his videos during the week. Chris said he spends a lot of time helping his grandmother around the house, because he wants to spend time with her while he still can.

Chris also said that he helped his friend one of his final exams at university. He said that he was really pleased to be able to help, because his friend probably would have failed otherwise.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,"Looking to see whether ""implicit"" evaluations about people can be learned, using the Implicit Association Test (IAT).",Yes,1,"Yes, his video suggested that he was a nice person.",Yes,1,No,0,"No, I didn't think think they were deepfakes. I did wonder whether Chris was actually one of the experimenters rather than a genuine youtuber, but I didn't guess that the voice was a computer program 'speaking'.",No,0,"At one point, part-way through the study, the text to click Continue (or it might have been ""this button"") to move on was partially hidden by other text."
14,4,*,47,female,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-1,-1,-1,1,-0.10366925868723892,0.10366925868723892,*,"He has a brother called Tom and a sister called Susan.
They live 15 minutes drive from him in the same town.
He had to cheat in his final year test at college otherwise he would not have passed.
He does not believe in chivalry and will not give up his seat to a heavily pregnant woman even if she needs the seat more.
He makes most of his videos during the week and at weekends spends time at his grandma's house as she is old and close to dying. He thinks if he spends time with her she will leave him the house.",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,How a person makes an opinion about a stranger's character by the words they use.,Yes,1,Yes. The questions refering to the pregnant woman and his grandmother gave me a very low opinion of Chris.,Yes,1,No,0,No i didn't.,No,0,no issues
