numeric_id,experiment,age,gender,gender_self_describe,ethnicity,ethnicity_self_describe,education,employment,location,income,condition,experiment_condition,video_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,deepfake_video_check,deepfake_concept_check,issues_with_study,political_ideology_identity_1,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,ras_q1,ras_q2,ras_q3,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,q1_bcti,q2_bcti,q3_bcti,q4_bcti,q5_bcti,q6_bcti,q7_bcti,q8_bcti,q9_bcti,q10_bcti,q11_bcti,q12_bcti,q13_bcti,q14_bcti,q15_bcti,ocq_1,ocq_2,ocq_3,ocq_4,ocq_5,ocq_6,ocq_7,ocq_8,ocq_9,ocq_10,ocq_11,ocq_12,ocq_13,ocq_14,ocq_15,ocq_16,ocq_17,ocq_18,ocq_19,ocq_20,ocq_21,ocq_22,ocq_23,ocq_24,ocq_25,ocq_26,ocq_27,ocq_28,ocq_29,ocq_30,q1_rei,q2_rei,q3_rei,q4_rei,q5_rei,q6_rei,q7_rei,q8_rei,q9_rei,q10_rei,q11_rei,q12_rei,q13_rei,q14_rei,q15_rei,q16_rei,q17_rei,q18_rei,q19_rei,q20_rei,crt_q1,crt_q2,crt_q3,crt_q4,crt_q5,crt_q6,crt_q7,crt_q8,crt_q9
1,5,40,male,NA,Asian,NA,Bachelor,Employed (full time),Canada,"$75,000 to $99,999",C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,FALSE,3,3,2,2.67,0.2894138763047293,"He has two siblings - Tom and Susan
He helped his friend in college with a final exam
He does believe in chivalry
He moved to a new apartment and had a new haircut
On weekends, he spends time helping his grandmother",Moderately_Diagnostic,No Demand,No Reactance,See if a little background on a person would help make a person appearance be good or bad - and first association of good/bad words would remain in mind.,"Yes, based on what Chris said in the video, I started off thinking Chris was a ""good"" person.",No,No,no issues,Neither agree nor disagree,Somewhat Conservative,Somewhat Conservative,Atheist,I don't know,I don't know,I don't know,I agree,I agree,I agree,I don't know,I don't know,1,2,2,1,6,2,5,1,4,3,2,6,1,1,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,4,4,0,3,3,3,3,3,0,3,1,0,2,3,2,6,4,5,6,3,2,5,4,3,7,5,3,3,2,2,3,4,2,3,8,1,39,First,8,Emily,0,no,0
2,5,29,female,NA,White,NA,Masters,Employed (full time),United Kingdom,"$25,000 to $34,999",C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.6451942132252293,"He has a brother and a sister who live in the same small town as him, he cheated in his final exam, and he spends most of his weekends at his grandmother's house so she'll leave it to him when she dies.",Moderately_Diagnostic,No Demand,No Reactance,Not sure.,"It did, because Chris said things that made him seem like a bad person.","I thought it was odd and not a genuine youtube video , but assumed it was because 'Chris' was an actor or a member of your team reading lines and not a real person.",I was aware.,"Everything was fine, it worked well.",Strongly Agree,Strongly Liberal,Somewhat Liberal,Agnostic,I disagree,I don't know,I strongly disagree,I don't know,I don't know,I strongly disagree,I don't know,I strongly disagree,1,1,3,2,3,1,1,1,1,1,1,3,4,5,2,4,2,0,0,3,4,0,2,2,1,0,2,0,2,0,3,5,5,0,6,5,5,4,4,3,5,1,4,4,6,2,4,5,3,5,4,2,5,5,1,2,5,3,4,3,3,4,4,2,3,8,10,39,2nd place,8,Emily,None - it's a hole.,yes,2
3,5,50,female,NA,White,NA,Doctoral degree,Self-employed,United Kingdom,"Less than $25,000",C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,0,-1,-1,-0.67,-0.1752681461810922,"He answered five questions that were put to him in the comments of one of his previous videos.

Siblings: two, brother and sister, live a short bus ride away from him in the small town where he lives.

Does he have a story from his time at college: he helped a friend pass his final exam

Something has changed since last video: new background as he has moved house and has had a haircut

Videos are made during the week, as he wants to spend as much time with his gran before she passes away

And one more, I can't remember.",Moderately_Diagnostic,No Demand,No Reactance,I have no idea. Sorry.,Of course. You watched it so you had some insight into him and therefore some connection with him. More than with Bob.,"I knew there was something a little strange in the editing. The voice didn't seem to quitematch up with the mouth movement and there were changes in the background lighting/colour.

Also, I do apologise about the maths questions. I have dyscalculia.",Yes,No issues,Strongly Agree,Strongly Liberal,Strongly Liberal,No religion,I strongly agree,I strongly disagree,I strongly disagree,I don't know,I don't know,I don't know,I strongly agree,I strongly agree,5,4,5,4,6,4,6,5,6,5,7,6,6,6,6,3,3,0,0,2,3,0,2,3,3,0,1,0,1,0,0,3,3,0,3,0,3,3,2,0,0,0,1,1,2,1,7,6,1,7,4,1,7,7,3,7,7,4,7,4,7,7,1,1,1,8,50?,"I don't know, sorry",first,7,June,"I don't know, sorry",no,0
4,5,20,male,NA,Asian,NA,Some college,Student,United Kingdom,"Less than $25,000",C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-2,-1,-1,-1.33,-0.014873967195101631,chivalry what he does on the weekends and his youtube channel,Moderately_Diagnostic,No Demand,I don't know,human behaviour,yes,no,no,no issues,Neither agree nor disagree,Moderate,Moderate,Muslim,I agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I don't know,I strongly agree,5,5,5,5,5,6,7,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,1,5,5,5,3,0,0,3,2,6,6,6,5,3,4,4,4,4,4,4,5,4,4,4,3,5,5,4,4,4,8,500,20,first,7,emily,9,maybe,2
5,5,63,female,NA,White,NA,Associate degree,Employed (part-time),United Kingdom,"$35,000 to $49,999",C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,FALSE,-3,-3,-3,-3,-0.08193084182146967,"He was going to answer 5 questions, he as a brother and sister, Tom and Susan who live  fairly nearby. Chris cheated in his final college exam and does not regret it.
Chris would not give up his seat for a pregnant woman and says it is not his problem if she is pregnant.
Chris visits his grandmother every weekend as he is hoping to get her house when she passes away",Strongly_Diagnostic,No Demand,No Reactance,If we had an opinion about someone based on a few statements from them?,Absolutely! Although I did wonder if Chris was really this shallow and uncaring.,"No, never heard of deep faking but I did wonder if Chris really meant what he said.","I knew that videos could be altered but I did not know about deep faking,",no issues,Moderately Agree,Somewhat Liberal,Somewhat Liberal,Christian,I agree,I don't know,I don't know,I agree,I agree,I don't know,I don't know,I don't know,1,1,5,3,4,1,2,2,2,1,4,5,5,4,1,6,0,0,0,6,6,3,3,3,1,1,6,3,3,0,2,5,5,3,6,1,6,0,4,0,6,0,0,4,6,2,6,5,2,5,4,2,6,5,4,5,5,2,5,1,5,6,1,1,3,8,10,39,2nd,15,Emily,0,no,0
6,5,22,female,NA,White,NA,Bachelor,Employed (part-time),United Kingdom,"$35,000 to $49,999",C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,2,2,3,2.33,0.22988873993068254,"He answered qustions from the comment section of youtube. There were 5 questions in total that he answered. There was one about chivalry which he believes in. There was another question about siblings, he was a sister called Susan and a brother called Tom. Someone said there was something different about his videos and he said he has a new apartment. He spends his weekends helping around the house at his Grandmother's. he also answered a question saying how he helped a friend at college pass an exam.",Moderately_Diagnostic,No Demand,No Reactance,I think they were trying to see how the first questions may have swayed our views.,"Yes, I felt like Chris was warm and honest.",I did not,No I haven't heard of this.,no,Somewhat Agree,Somewhat Liberal,Somewhat Liberal,Christian,I don't know,I disagree,I disagree,I don't know,I agree,I agree,I don't know,I disagree,2,1,2,1,1,2,3,1,1,2,8,4,3,2,2,6,1,3,0,4,6,6,5,5,4,4,0,1,3,2,4,6,5,3,4,2,4,4,3,2,2,3,5,3,6,2,5,5,4,6,4,3,6,5,4,5,6,3,5,4,5,5,2,2,4,8,10,20,First,8,Emily,9,yes,2
7,5,67,male,NA,White,NA,Less than high school,Retired,United Kingdom,"$35,000 to $49,999",C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,1,1,1,1,0.20412110181606777,"new haircut, helps his grandmother at weekends, lives in a small town near to his brother and sister, moved into new appartment",Moderately_Diagnostic,No Demand,No Reactance,with what people associate with good or bad wearing black or having a beard,seemed a normal man till the bit about his gran seemed likeable but boring,i had a good idea was not from u tube who would want to watch it,yes,no,Moderately Agree,Somewhat Liberal,Somewhat Liberal,Christian,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,2,2,3,2,6,2,2,4,7,3,2,4,4,6,2,3,0,0,0,2,3,0,3,4,3,0,4,0,0,0,2,2,2,3,0,1,3,3,1,1,0,0,3,3,4,3,5,5,3,5,3,3,6,5,4,5,5,3,5,3,5,6,3,3,3,4,50,39,2,8,june,1,maybe,1
8,5,70,female,NA,White,NA,Bachelor,Retired,United Kingdom,"$35,000 to $49,999",C4. Negative_Video_SR_First (Con B First),negative video,genuine video,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.3290207263212816,"his brother Tom and sister Susan live a bus ride away, he doesn't believe in chivalry, he is only spending time with his grandmother so he gets her house when she dies, he has moved to a new apartment and has a new haircut, he cheated in his final exam.",Strongly_Diagnostic,No Demand,No Reactance,no idea,yes,no but I suspected that he was an actor pretending,I haven't heard the word but I am aware that not everything in a video is true,no issues,Somewhat disagree,Somewhat Conservative,Moderate,No religion,I disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I don't know,I strongly disagree,7,8,9,6,8,2,7,7,9,7,9,1,6,6,4,5,3,0,0,3,4,0,2,4,1,0,4,5,0,0,4,5,4,0,3,4,3,1,2,0,2,1,4,3,5,2,6,5,2,5,2,2,5,4,4,5,7,1,4,3,4,6,3,2,1,8,10 seconds,20 days,second,8,Emily,27,no,NA
9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5,26,female,NA,White,NA,Masters,Unemployed (looking),United Kingdom,"$50,000 to $74,999",C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.5560057638860272,"he was answering questions to let people get to know him, he has two siblings, Tom and Susan who live a short bus ride away from him in the same small town he does.
He believes in chilvary and gives up a seat on the bus if there is a pregnant woman there.
He spends his weekends at his grandmothers.
",Slightly_Diagnostic,No Demand,Reactance,"I'm nots sure, seeing how you are influenced by what's been said maybe.",Yes.,I thought there were something wrong with it- his accents keps changing and it looked out of sinc at times.,"Yes, it's very scary!",No issues,Somewhat Agree,Somewhat Liberal,Somewhat Liberal,Christian,I don't know,I disagree,I disagree,I don't know,I don't know,I disagree,I don't know,I disagree,3,2,5,1,1,1,1,1,1,1,1,1,3,1,1,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,6,3,6,6,0,2,2,0,2,0,6,2,6,6,3,5,4,3,5,5,5,5,5,2,5,3,5,5,3,3,3,8,50,20,first,7,June,21,no,NA
