numeric_id,experiment,gender,age,condition,experiment_condition,video_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study
1,3,female,22,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,0.420581312222037,"He has a brother named Tom and a sister named Susan,  they live a bus drive away from him. He helped his friend study in college and he spends his weekends with his grandma.",Slightly_Diagnostic,No Demand,No Reactance,trying to use an implicit bias test to test the validity of our statements,"Yeah, I disliked him because he seemed like he was focusing too hard on how to seem like a good person and his eyes didn't seem in touch with what he was saying",no issues
2,3,male,20,C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.45754386838973493,"-He makes videos weekly, on weekdays
-He has two siblings named Tom and Susan who grew up in the same small town as him and live a busride away from him.
-He moved into a new apartment and got a new haircut
-He believes in chilvalry and says he'd give his seat up on the bus for a pregnant woman since she needs it more than him
-He spends his weekends with his grandmother as she is very old and wants to spend as much time with her as possible before she passes on
-He helped his friend at college with his exam and is glad he did so as he would have failed otherwise",Moderately_Diagnostic,No Demand,No Reactance,Associating negative words with people,Yes.,no issues
3,3,female,26,C4. Negative_Video_SR_First (Con B First),negative video,genuine video,ratings first,learning consistent block First,complete,TRUE,-2,-3,-3,-2.67,0.3585641588980365,"He answered 5 questions:
1 - does he have any siblings? yes 2 tom and susan they live in the same town a short bus ride away.
2 - 
3 - Do you believe in chivalry? no i would not stand up for example on a bus if a pregnant lady needed a seat.
4 - Have you changed your youtube vidoes they look different? i move to a new apartment.
5 - what do you do on weekends? spend most of the time with grandma as she is old not much time left to live so hopefully ill get her house when she dies.",Moderately_Diagnostic,No Demand,No Reactance,Find ut how people feel about people based on facts about them.,yes very much so,no issues
4,3,female,27,C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,3,3,3,3,0.46834790733565546,"Chris answered 5 questions asked about him form his audience. Some questions as, his siblings, changes in his videos, his weekend activity and a special time in college for him. He responded to the questions, he has 2 siblings, spends his weekend with his grandmother and helped a friend with his final exam at college which he is proud of because he was able to lend a helping hand, and lastly, he believes in chivalry, as one of the questions asked.",Strongly_Diagnostic,No Demand,No Reactance,People's perspective on other's personalities based on physical appearance.,"Yes, it did. He looked calm and his words also attributed to this.",No issues.
5,3,female,21,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,2,2,2,2,0.12892986106070986,"Has a brother and a sister that live a bus ride away 
Makes his youtube videos during the week
recently had a haircut 
at college he helped one of his friends that would have failed otherwise",Moderately_Diagnostic,No Demand,No Reactance,If you are able to give a positive/negative impression in a youtube video,Yes,no issues
6,3,male,25,C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,TRUE,-3,-2,-3,-2.67,-0.34973588725477484,"People were curious about him so he took 5 questions randomly from the comment section. He has two siblings who live in the same town, a brother called Tom and a sister. He doesn't believe in chivalry because it's not his problem if other people need help. He just got a haircut and move into a new place. He spends his week making videos and his weekends helping his grandmother, spending as much time with her as possible so as to inherit her house. He cheated on his final exam in university and doesn't regret it.",Moderately_Diagnostic,No Demand,No Reactance,"Felt like the youtube video was contrived to make you negatively deliberately, then reinforcing the association between this and words in the following exercise, before testing this by changing the pattern.",Yes- I feel like although the video is contrived and a 'persona' I still really disliked the answers I made and felt like I could believe them given how some youtube personalities act.,No issues
7,3,female,47,C4. Negative_Video_SR_First (Con B First),negative video,genuine video,ratings first,learning consistent block First,complete,FALSE,-2,-2,-2,-2,-0.6492670704596653,"That he does several videos and has decided to answer questions posed by people who view his videos. He told everyone that he has just moved to a new apartment and got a haircut, has a brother and sister who live in the same town as him but a bus ride away and that he does his videos midweek because he spends his weekends as much as possible with his elderly grandmother as he hopes to inherit her house when she passes away. He also stated that he does not believe in chivalry and would not give up his seat to a pregnant woman even if she needed it more than he did because he feels that it is not his problem.",Moderately_Diagnostic,No Demand,No Reactance,How people would feel about a person if they displayed selfish or rude personality traits?,It definitely did affect my judgement as Chris came across as being very selfish and quite rude towards people,no issues
8,3,female,30,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,-2,-2,-1,-1.67,-0.31347571055561024,"He has two sibling, Tom and Susan. They live a short bus ride away from him. He cheated in his final college exam and is pleased he did so. He does not believe in chivalry, he would not give up his seat on a bus for a heavily pregnant lady. He has recently moved apartment and had a hair cut. He spends a lot of time at weekends with his Grandma as she is very old and he will inherit her house when she passes.",Moderately_Diagnostic,No Demand,No Reactance,Wanted me to listen to the video and make a perception about Chris,This influenced my decision to make him out as bad,None
9,3,female,19,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,-0.09823975655176818,"He talked about his youtube channel and answering questions from the comments. He said about his 2 siblings Susan and Tom and that they live in the same town, a bus ride away. He talked about cheating on a test in college. He said he didn't believe in chivalry and would not give his seat upon a bus for a pregnant woman. he said he recently moved home and got a haircut. he said he spends most of his weekends at his grandmothers house which he will receive once she passes.",Slightly_Diagnostic,No Demand,No Reactance,Understanding how people perceive other based on their words and opinions.,yes,no
10,3,male,43,C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,FALSE,3,2,3,2.67,-2.796626781499482,yes,Strongly_Diagnostic,No Demand,Reactance,yes,Yes I like Chris. Be honest,Yes I like to report
