numeric_id,experiment,demographic_items,age,gender,method_items,experiment_condition,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,exclude_iat,exclude_exploratory,exclude,evaluative_items,pos_neg,good_bad,like_dislike,self_reported_rating,self_report_recoded,IAT_D2_score,IAT_recoded,exploratory_items,memory_of_video_content,diagnosticity_question,diagnosticity_question_recoded,demand,demand_recoded,reactance,reactance_recoded,hypothesis_awareness,hypothesis_awareness_recoded,hypothesis_awareness_recoded_,influence_awareness,influence_awareness_recoded,influence_awareness_recoded_,issues_with_study
1,2,*,31,female,*,Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,0,0,-1,-0.33,-0.33,0.05988068296641835,0.05988068296641835,*,Chris has just started doing these videos. He has recently moved to a new apartment and had a hair cut. Some people notice his videos are different. On weekends he helps his grandmother out. He would give up his seat for a pregnant woman on a bus because he believes in chivalry. He has a brother called Ted and a sister called Susan. He was asked 5 questions he hoped would not be embarrassing.,Slightly_Diagnostic,1,No Demand,0,No Reactance,0,Perceptions of people and memory,Yes,1,Yes i do,Yes,1,no issues
2,2,*,29,male,*,Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,2,2.67,2.67,0.7913729808513463,0.7913729808513463,*,"He said he was going to answer fan questions. He has a brother called Ted and a sister called Susan, a bus ride away from him. He volunteers in a soup kitchen. He gives up his seat on buses for pregnant women. He's gotten a new apartment and a haircut. At the weekends he helps his grandmother.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,Whether word associations could be used to shift participants character judgements,No,0,Yes,Yes,1,"It was fine, maybe a little longer than advertised."
4,2,*,18,male,*,Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.7895079630736437,0.7895079630736437,*,He as one brother and sister (Ted + Susan) Both of which live close to him. In his spare time he voluntereers in the local soup kitchen because he believes you should give back to the community. He has also moved to a new apartment and got a new hairstyle which was the answer to the question adressed by a commenter (the entire is based around him answering questions which his viewers sent him). His grandmother is ill and as a result he spends most of his weekends helping her around.,Slightly_Diagnostic,1,No Demand,0,No Reactance,0,To see how much of a youtube video people can actually remember or if they just watch it to waste time.,Yes,1,not too much though the fact that he volunteered and helps his grandmother are signs of good character. And therefore to an extent it did influence my decision.,Yes,1,no issues
5,2,*,31,female,*,Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.6145669406756058,0.6145669406756058,*,he was answering 5 questions from the comments q1 brother as sisters ted and susan he looks after his grandmother at weekends he believes in chivlry,Moderately_Diagnostic,2,No Demand,0,No Reactance,0,im not entirely sure,No,0,no,No,0,no issues
7,2,*,31,male,*,Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,-3,-3,-3,-3,3,0.07779403388002798,-0.07779403388002798,*,"He doesn't believe in chivalry, like giving up a seat on the bus to a heavily-pregnant woman. He doesn't believe in protecting the environment e.g. picking up trash, as it's ''not his responsibility''. He's not active in his community. He has a new haircut and an apartment. He does still meet up with his oldcollege friends, but he gossips about them behind their back and is arrogant enough to believe they're blessed by them in their 'simple lives'. He has a brother, named Ted, and a sister, named Susan, that lives in the same small town as him and living only a single bus-journey away.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,Perceptions of people based on presented information?,Yes,1,"It presented to me his character over five questions: my impression of him was based upon his reactions, actions, body-language, and verbal-language shown.",Yes,1,No issues.
8,2,*,22,male,*,Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,0,0,0,0,0,0.5967202555319406,0.5967202555319406,*,"He said that people were asking questions and that he was going to answer 5 random questions from the comment section. He talked about how he helped his grandma on the weekends, how he's had a haircut, how hes volunteering at a local soup kitchen, his brother ted and sister susan who live in the same town a bus ride away.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,A result,No,0,Yes,Yes,1,no issues
9,2,*,36,male,*,Positive Video,IAT First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-1,-1,-1,-1,-0.004952406188622041,-0.004952406188622041,*,He was banging on about how great he is because he goes to soup kitchens and helps his old grandmother. Neither of which I believe. He got a new hair cut and has moved into a new apartment. All of all he seems like a boring stick in the mud.,Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Not sure.,No,0,"Yes, it made he dislike him greatly.",Yes,1,no issues
10,2,*,26,male,*,Positive Video,IAT First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,0,0,0,0,0,0.015613177438271383,0.015613177438271383,*,Chris has a brother and sister named Ted and Susan. He volenteers at a soup kitchen. He believes in chivalry. He moved houses and got a haircut. He spends his weekends helping his grandmother.,Slightly_Diagnostic,1,No Demand,0,No Reactance,0,How people feel about someone with/without knowledge about them.,Yes,1,"I'm not sure. It may have a little, but I don't know Chris with the video alone. Sure, it can make him seem nice, but that's not always the case.",No,0,No issues.
11,2,*,22,male,*,Positive Video,IAT First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,3,3,3,0.6844852580315527,0.6844852580315527,*,He has a sister called susan and a brother called ted who live a bus journey away. He moved to a new apartment and got a new haircut. He volunteers at a soup kitchen. He helps his grandmother at home on the weekends as she's old.,Moderately_Diagnostic,2,No Demand,0,No Reactance,0,A correlation between typically pleasant words and different interpretations of people given a small profile.,No,0,Yes as he was presented as a thoughtful and pleasant person.,Yes,1,no issues
12,2,*,29,female,*,Positive Video,IAT First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,3,3,3,0.5831956311327955,0.5831956311327955,*,"He has a brother called Ted and sister called Susan, he volunteers in a soup kitchen, he has recently moved to an apartment and had a hair cut, he believes in chivalry and will give his seat up on the bus for a pregnant woman, he spends his weekends with his Grandma",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Not sure,No,0,Yes as it told me about him as a person and his actions that he portrayed showed he was kind person,Yes,1,No problems
13,2,*,23,female,*,Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,1,0,0,0.33,0.33,1.088763225259323,1.088763225259323,*,"He has a brother called Ted and a sister called Susan. They're just a bus ride away. He believes in chivlray, meaning that he will help a pregnant lady if he is sitting down by giving up his seat on the bus. He edits videos during the week but he looks after his grandmother on the weekends because she's getting really old and he wants to spend as much time with her as he can before she passes on.",Slightly_Diagnostic,1,No Demand,0,Reactance,1,"I'm not exactly sure, but I noticed that I registered Chris with positive words/adjectives and Bob with negative words. Therefore I found it challenging when the positive and negative words were switched! So perhaps this study may be about how people can be viewed based on seeing or hearing certain things about them on a daily basis.",No,0,"I liked Chris, however I felt as if he was holding something back. His personality didn't seem genuine, but that may be due to being nervous on camera.",Yes,1,"No issues
"
14,2,*,20,female,*,Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,1,1,1,1,1,0.19731411021367218,0.19731411021367218,*,"He has a brother called Ted and a sister called Susan who live in the same town as him, his videos are different because he has moved apartments and has a new haircut, he believes in chiverly and would give his seat to a pregnant woman on the bus, and he spends his weekends helping his grandmother around the house",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,Seeing how someones opinions differ on a person depending on what they seen online of them,Yes,1,"Not really, it was only five questions so I could not get enough to form a genuine impression of him as a person",No,0,no issues
15,2,*,28,male,*,Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-1,-1,-1,1,0.25520999392023647,-0.25520999392023647,*,"He believes in chivalry, he does not believes in protecting the environment, he also gossips about his friends.",Not_Diagnostic,0,No Demand,0,No Reactance,0,Trying to see how we process emotions associated with faces ansd names.,No,0,His selfishness made it hard for him to like.,Yes,1,no issues
16,2,*,34,female,*,Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-1,-1.67,1.67,0.0051631296845394414,-0.0051631296845394414,*,Chris said that someone in the comment section suggested that he answer five questions about himself. So the video was about Chris answering five questions about himself. The first question was does he have any brothers or sisters and he said yes he has a brother named Ted and a sister named Susan and they live a bus ride away. The second question was does he believe in chivalry and he said no and that he would not give up a seat to a heavily pregnant lady. The third question was does he care for the environment and he did not and would not even pick up trash. The fourth question was did anything about the videos change and he said he had a new apartment and haircut. The fifth question was did he still hang out with his college friends and he said yes and that they were lucky to have him in their lives.,Strongly_Diagnostic,3,No Demand,0,No Reactance,0,Perhaps whether it was easier to assign bad traits to Chris rather than good traits.,No,0,Yes I think it did influence it.,Yes,1,no issues
