numeric_id;experiment;demographic_items;age;gender;gender_self_describe;ethnicity;ethnicity_self_describe;education;education_recoded;employment;employment_recoded;location;income;income_recoded;method_items;condition;experiment_condition;video_type;task_order;IAT_block_order;complete_iat_data;passed_iat_performance;exclude_iat;exclude_exploratory;exclude;evaluative_items;pos_neg;good_bad;like_dislike;self_reported_rating;self_report_recoded;IAT_D2_score;IAT_recoded;exploratory_items;memory_of_video_content;diagnosticity_question;diagnosticity_question_recoded;demand;demand_recoded;reactance;reactance_recoded;hypothesis_awareness;hypothesis_awareness_recoded_;influence_awareness;influence_awareness_recoded_;recognised_video_manipulation_;deepfake_video_check;deepfake_video_check_recoded_;deepfake_concept_check;deepfake_concept_check_recoded_;issues_with_study;individual_difference_items;political_ideology_identity_1;political_ideology_social_issues;political_ideology_economic_issues;religious_affiliation_general;political_identity_recoded;political_ideology_social_issues_recoded;political_ideology_economic_issues_recoded;ras_q1;ras_q2;ras_q3;ras_q4;ras_q5;ras_q6;ras_q7;ras_q8;religious_affiliation_general_recoded;ras_q1_recoded;ras_q2_recoded;ras_q3_recoded;ras_q4_recoded;ras_q5_recoded;ras_q6_recoded;ras_q7_recoded;relgious_affliation_score_mean;q1_bcti;q2_bcti;q3_bcti;q4_bcti;q5_bcti;q6_bcti;q7_bcti;q8_bcti;q9_bcti;q10_bcti;q11_bcti;q12_bcti;q13_bcti;q14_bcti;q15_bcti;belief_in_conspiracy_mean;ocq_1;ocq_2;ocq_3;ocq_4;ocq_5;ocq_6;ocq_7;ocq_8;ocq_9;ocq_10;ocq_11;ocq_12;ocq_13;ocq_14;ocq_15;ocq_16;ocq_17;ocq_18;ocq_19;ocq_20;ocq_21;ocq_22;ocq_23;ocq_24;ocq_25;ocq_26;ocq_27;ocq_28;ocq_29;ocq_30;overclaiming_mean;q1_rei;q1_rei_recoded;q2_rei;q3_rei;q4_rei;q4_rei_recoded;q5_rei;q6_rei;q6_rei_recoded;q7_rei;q7_rei_recoded;q8_rei;q9_rei;q10_rei;q10_rei_recoded;q11_rei;q12_rei;q13_rei;q13_rei_recoded;q14_rei;q15_rei;q15_rei_recoded;q16_rei;q17_rei;q18_rei;q18_rei_recoded;q19_rei;q19_rei_recoded;q20_rei;q20_rei_recoded;rational_scale_rei;experiential_scale_rei;crt_q1;crt_q2;crt_q3;crt_q4;crt_q5;crt_q6;crt_q7;crt_q8;crt_q9;crt_q1_recoded;crt_q2_recoded;crt_q3_recoded;crt_q4_recoded;crt_q5_recoded;crt_q6_recoded;crt_q7_recoded;analytic_thinking_crt_score
2;5;*;29;female;;White;;Masters;6;Employed (full time);Currently Employed;United Kingdom;$25,000 to $34,999;2;*;C3. Negative_Video_IAT_First (Con B First);negative video;genuine video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;-2;-2;-2;-2;2;-0,645194213;0,645194213;*;He has a brother and a sister who live in the same small town as him, he cheated in his final exam, and he spends most of his weekends at his grandmother's house so she'll leave it to him when she dies.;Moderately_Diagnostic;2;No Demand;0;No Reactance;0;Not sure.;0;It did, because Chris said things that made him seem like a bad person.;1;1;I thought it was odd and not a genuine youtube video , but assumed it was because 'Chris' was an actor or a member of your team reading lines and not a real person.;0;I was aware.;1;Everything was fine, it worked well.;*;Strongly Agree;Strongly Liberal;Somewhat Liberal;Agnostic;3;1;2;I disagree;I don't know;I strongly disagree;I don't know;I don't know;I strongly disagree;I don't know;I strongly disagree;Agnostic;2;3;1;3;3;1;3;2,285714286;1;1;3;2;3;1;1;1;1;1;1;3;4;5;2;2;4;2;0;0;3;4;0;2;2;1;0;2;0;2;0;3;5;5;0;6;5;5;4;4;3;5;1;4;4;6;2,733333333;2;6;4;5;3;5;5;4;4;2;6;5;5;1;7;2;5;3;5;4;3;5;3;4;4;4;2;6;3;5;5;4,5;8;10;39;2;8;Emily;0;Yes;2;0;1;1;1;1;1;0;5
4;5;*;20;male;;Asian;;Some college;3;Student;Vocational Occupation;United Kingdom;Less than $25,000;1;*;C3. Negative_Video_IAT_First (Con B First);negative video;genuine video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;-2;-1;-1;-1,33;1,33;-0,014873967;0,014873967;*;chivalry what he does on the weekends and his youtube channel;Moderately_Diagnostic;2;No Demand;0;I don't know;0;human behaviour;0;yes;1;0;no;0;no;0;no issues;*;Neither agree nor disagree;Moderate;Moderate;Muslim;0;3;3;I agree;I strongly agree;I strongly agree;I strongly agree;I strongly agree;I strongly agree;I don't know;I strongly agree;Religious;4;5;5;5;5;5;3;4,571428571;5;5;5;5;5;6;7;5;5;5;5;5;5;5;5;5,2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;5;1;5;5;5;3;0;0;3;2;6;1,6;6;2;6;5;3;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;3;5;5;5;4;4;4;4;4;4;4,2;4,4;8;500;20;1;7;emily;9;Maybe;2;0;0;0;0;0;1;0;1
6;5;*;22;female;;White;;Bachelor;5;Employed (part-time);Currently Employed;United Kingdom;$35,000 to $49,999;3;*;C2. Positive_Video_SR_First (Con B First);positive video;genuine video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;2;2;3;2,33;2,33;0,22988874;0,22988874;*;He answered qustions from the comment section of youtube. There were 5 questions in total that he answered. There was one about chivalry which he believes in. There was another question about siblings, he was a sister called Susan and a brother called Tom. Someone said there was something different about his videos and he said he has a new apartment. He spends his weekends helping around the house at his Grandmother's. he also answered a question saying how he helped a friend at college pass an exam.;Moderately_Diagnostic;2;No Demand;0;No Reactance;0;I think they were trying to see how the first questions may have swayed our views.;0;Yes, I felt like Chris was warm and honest.;1;0;I did not;0;No I haven't heard of this.;0;no;*;Somewhat Agree;Somewhat Liberal;Somewhat Liberal;Christian;1;2;2;I don't know;I disagree;I disagree;I don't know;I agree;I agree;I don't know;I disagree;Religious;3;2;2;3;4;4;3;3;2;1;2;1;1;2;3;1;1;2;8;4;3;2;2;2,333333333;6;1;3;0;4;6;6;5;5;4;4;0;1;3;2;4;6;5;3;4;2;4;4;3;2;2;3;5;3;6;3,533333333;2;6;5;5;4;4;6;4;4;3;5;6;5;4;4;5;6;3;5;5;4;4;5;5;2;6;2;6;4;4;4,8;5,3;8;10;20;1;8;Emily;9;Yes;2;0;1;0;0;1;1;0;3
8;5;*;70;female;;White;;Bachelor;5;Retired;Not Currently Employed;United Kingdom;$35,000 to $49,999;3;*;C4. Negative_Video_SR_First (Con B First);negative video;genuine video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;-3;-3;-3;-3;3;-0,329020726;0,329020726;*;his brother Tom and sister Susan live a bus ride away, he doesn't believe in chivalry, he is only spending time with his grandmother so he gets her house when she dies, he has moved to a new apartment and has a new haircut, he cheated in his final exam.;Strongly_Diagnostic;3;No Demand;0;No Reactance;0;no idea;0;yes;1;1;no but I suspected that he was an actor pretending;0;I haven't heard the word but I am aware that not everything in a video is true;0;no issues;*;Somewhat disagree;Somewhat Conservative;Moderate;No religion;-1;4;3;I disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I don't know;I strongly disagree;Atheist;2;1;1;1;1;1;3;1,428571429;7;8;9;6;8;2;7;7;9;7;9;1;6;6;4;6,4;5;3;0;0;3;4;0;2;4;1;0;4;5;0;0;4;5;4;0;3;4;3;1;2;0;2;1;4;3;5;2,4;2;6;6;5;2;6;5;2;6;2;6;5;4;4;4;5;7;1;7;4;3;5;4;6;3;5;2;6;1;7;5,8;5,1;8;10;20;2;8;Emily;27;No;;0;1;0;1;1;1;1;5
11;5;*;48;male;;White;;Some college;3;Employed (full time);Currently Employed;United Kingdom;$75,000 to $99,999;5;*;C4. Negative_Video_SR_First (Con B First);negative video;genuine video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;2;2;1;1,67;-1,67;0,314493047;-0,314493047;*;vISITS GRANDMA AT WEEKENDS HE IS NOT CHIVALES AS HE WOULDNT GIVE HIS SEAT TO A PREGNANT WOMAN;Moderately_Diagnostic;2;Demand;1;No Reactance;0;to achieve how i felt about chris and what my beliefs are;1;Yes;1;0;no;0;no;0;no;*;Strongly disagree;Moderate;Moderate;Christian;-3;3;3;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly disagree;Religious;1;1;1;1;1;1;1;1;7;3;6;3;4;1;6;4;6;6;7;4;4;6;6;4,866666667;6;1;1;1;1;6;3;4;5;2;1;1;1;3;1;4;5;5;2;4;3;4;1;3;1;3;1;1;1;6;2,7;2;6;5;5;3;5;5;1;7;1;7;5;5;1;7;6;5;5;3;2;2;6;4;5;5;3;2;6;3;5;5,8;4,4;4;10;20;1;8;June;27;No;0;1;1;0;0;1;0;1;4
12;5;*;28;male;;White;;Bachelor;5;Unemployed (looking);Not Currently Employed;United Kingdom;Less than $25,000;1;*;C1. Positive_Video_IAT_First (Con B First);positive video;genuine video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;0;0;0;0;0;0,288567089;0,288567089;*;"He has a brother an sister. The bother is called Tom, I do not remember the sisters name, maybe Lisa. They are a bus journey away

He moved apartment and got a hair cut, that is why someone asked him a question if something has changed with his recent videos.

On weekends he spends most of his time round his grandmothers. She is old and she needs his help.

He believes in chivalry. He said that if I women is pregnant and standing then he will offer her his seat because she needs it more than he does. 

He picked 5 questions to answer.";Strongly_Diagnostic;3;No Demand;0;No Reactance;0;I think that this was about negative and positive words associated with the picture of Chris and Bobs image to see if the negative words projected a negative or positive feeling towards Chris or Bob.;0;Yes, I liked Chris. He seemed a very nice person helping his mum on the weekends and willing to offer a pregnant lady a seat.;1;0;Not at all!;0;Did not consider it at all!;0;no issues;*;Strongly disagree;Moderate;Moderate;Agnostic;-3;3;3;I don't know;I disagree;I disagree;I disagree;I don't know;I don't know;I don't know;I disagree;Agnostic;3;2;2;2;3;3;3;2,571428571;7;6;8;7;9;6;9;9;9;5;9;5;7;5;7;7,2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;0;6;6;6;6;0;0;6;6;6;6;2,366666667;5;3;5;4;5;3;5;5;3;5;3;6;6;6;2;5;6;6;2;5;3;5;5;5;5;3;5;3;5;3;3,4;4,8;8;50;20;2;15;June;27;Yes;4;0;0;0;1;0;0;1;2
13;5;*;27;female;;White;;Masters;6;Employed (full time);Currently Employed;United Kingdom;$50,000 to $74,999;4;*;C2. Positive_Video_SR_First (Con B First);positive video;genuine video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;0;0;0;0;0;0,156139597;0,156139597;*;He has a brother and sister called Tom and Susan and the live a bus ride away. He has just moved into a new apartment and had a hair cut. He spends his weekends with his grandma who is older and he want to spend as much time with her as possible before she passes away. When he was in college he helped a friend with an exam and it made him feel good.;Not_Diagnostic;0;No Demand;0;No Reactance;0;If we can truly know people who we see online;0;"No, it was my first video I saw with him and I don't think people portray their true selves online. Hence my opinion of him was pretty neutral.
";0;0;No;0;Yes;1;No issues;*;Somewhat Agree;Strongly Liberal;Strongly Liberal;Agnostic;1;1;1;I don't know;I don't know;I don't know;I strongly disagree;I strongly disagree;I strongly disagree;I don't know;I strongly disagree;Agnostic;3;3;3;1;1;1;3;2,142857143;2;2;7;1;8;1;6;6;6;5;8;5;7;9;5;5,2;5;0;0;0;0;6;0;2;6;0;0;0;0;0;0;1;5;3;0;1;1;1;2;0;0;0;0;1;1;3;1,266666667;2;6;6;3;3;5;5;2;6;6;2;6;3;6;2;5;3;3;5;5;3;5;4;4;5;3;2;6;2;6;4,9;4,1;8;50;20;1;8;Emily;;No;0;0;0;0;0;1;1;;
14;5;*;40;female;;White;;Bachelor;5;Employed (full time);Currently Employed;United Kingdom;$50,000 to $74,999;4;*;C3. Negative_Video_IAT_First (Con B First);negative video;genuine video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;0;0;0;0;0;-0,226790947;0,226790947;*;"He has a brother called Tom and sister called Susan who love about a bus ride away from him. 
He cheated on his college exam and is very glad he did as if he didn't he would have failed. 
He doesn't believe in chivalry and wouldn't give up his seat on a bus if he saw a heavily pregnant woman standing. 
He's just moved to a new apartment and has had a haircut.
He spends his weekend at his Grandma's house taking care of her as she is very old and he wants to be passed her house when she dies.";Moderately_Diagnostic;2;No Demand;0;No Reactance;0;To see if you changed your mind about feelings towards Chris by pairing positive words with his face?;0;No as it was only a small insight to his personality - there may be deeper meanings behind why he has cheated on tests or doesn't believe in chivalry and it would be wrong to like/dislike someone just on a 2min video;0;0;No;0;yes;1;"Some of the radio buttons under the long list of ""words familiar to you"" were off set to the key at the top row. I'm using Google Chrome Browser on a Mac desktop";*;Somewhat Agree;Somewhat Liberal;Somewhat Liberal;Christian;1;2;2;I agree;I strongly disagree;I strongly disagree;I strongly disagree;I strongly agree;I agree;I strongly disagree;I strongly disagree;Religious;4;1;1;1;5;4;1;2,428571429;1;1;2;1;1;1;1;1;1;1;1;1;1;4;1;1,266666667;0;0;0;0;6;2;2;2;0;0;4;0;0;2;0;2;6;6;1;6;6;6;6;6;6;6;6;6;6;6;3,3;3;5;5;7;2;6;6;3;5;3;5;7;7;2;6;6;6;3;5;7;2;6;6;6;1;7;2;6;1;7;5,6;6,5;8;50;39;1;7;June;27;No;0;0;0;1;0;0;0;1;2
15;5;*;44;female;;White;;Masters;6;Employed (full time);Currently Employed;Ireland;$50,000 to $74,999;4;*;C3. Negative_Video_IAT_First (Con B First);negative video;genuine video;iat first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;-1;-1;-1;-1;1;-0,261257085;0,261257085;*;"answer 5 questions people had posed.
siblings, college, manners, differences from previous videos and how he spends his weekends";Slightly_Diagnostic;1;No Demand;0;No Reactance;0;bias from only knowing a few not so positive points about a person;1;yes as its all i know about him in total;1;0;no i took it that it was for real;0;not to that extent;1;no issues;*;Moderately Agree;Strongly Liberal;Strongly Liberal;Christian;2;1;1;I agree;I agree;I don't know;I don't know;I disagree;I disagree;I agree;I don't know;Religious;4;4;3;3;2;2;4;3,142857143;1;1;1;1;6;1;1;1;1;1;6;5;5;9;1;2,733333333;4;4;0;4;4;5;0;5;5;5;0;5;0;5;0;5;5;3;3;3;0;4;5;4;0;3;0;1;3;4;2,966666667;1;7;6;5;2;6;6;2;6;1;7;6;5;1;7;6;5;1;7;5;2;6;5;5;2;6;1;7;2;6;6,5;5,4;8;10;39;1;8;june;3;No;;0;1;1;0;1;0;0;3
19;5;*;22;female;;White;;Bachelor;5;Employed (full time);Currently Employed;United Kingdom;Less than $25,000;1;*;C4. Negative_Video_SR_First (Con B First);negative video;genuine video;ratings first;learning consistent block First;complete;TRUE;FALSE;FALSE;0;*;-3;-3;-3;-3;3;-0,629986232;0,629986232;*;He has just started making YouTube videos. He has two siblings, a sister named Susan and a brother named Tom. They all live in the same town, a bus ride away from each other. He has just moved to a new apartment and gotten a new haircut. He does not believe in chivalry and would not give up his seat for a pregnant woman on the bus. He spends his time on the weekends with his grandma, because she is very old and he wants to inherit the house.;Strongly_Diagnostic;3;No Demand;0;No Reactance;0;To look at negative traits and faces and what affects a person's view on somebody else. To look at differing views.;0;It definitely influenced how much I disliked Chris because I didn't agree with his stances.;1;0;I did not realise it was deepfaked but I did not think it was real - as in I didn't think this was a real person's youtube channel and that he had shared those views like that. I did not know that it had been tampered with though.;0;Yes I have heard of this before.;1;No;*;Strongly Agree;Strongly Liberal;Strongly Liberal;Agnostic;3;1;1;I don't know;I don't know;I disagree;I disagree;I disagree;I disagree;I agree;I don't know;Agnostic;3;3;2;2;2;2;4;2,571428571;3;4;4;5;5;4;4;6;6;3;7;6;4;4;5;4,666666667;5;5;3;1;1;3;2;2;3;3;2;4;1;2;0;4;5;5;0;4;3;3;2;3;0;5;0;2;0;4;2,566666667;3;5;6;5;4;4;5;4;4;2;6;6;4;3;5;5;3;4;4;4;4;4;5;5;2;6;2;6;4;4;4,9;4,7;8;10;20;2;8;Emily;27;Yes;4;0;1;0;1;1;1;1;5
