numeric_id,experiment,demographic_items,age,gender,method_items,condition,experiment_condition,video_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,exclude_iat,exclude_exploratory,exclude,evaluative_items,pos_neg,good_bad,like_dislike,self_reported_rating,self_report_recoded,IAT_D2_score,IAT_recoded,exploratory_items,memory_of_video_content,diagnosticity_question,diagnosticity_question_recoded,demand,demand_recoded,reactance,reactance_recoded,hypothesis_awareness,hypothesis_awareness_recoded,hypothesis_awareness_recoded_,influence_awareness,influence_awareness_recoded,influence_awareness_recoded_,issues_with_study
2,3,*,20,male,*,C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.45754386838973493,0.45754386838973493,*,"-He makes videos weekly, on weekdays
-He has two siblings named Tom and Susan who grew up in the same small town as him and live a busride away from him.
-He moved into a new apartment and got a new haircut
-He believes in chilvalry and says he'd give his seat up on the bus for a pregnant woman since she needs it more than him
-He spends his weekends with his grandmother as she is very old and wants to spend as much time with her as possible before she passes on
-He helped his friend at college with his exam and is glad he did so as he would have failed otherwise",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Associating negative words with people,No,0,Yes.,Yes,1,no issues
3,3,*,26,female,*,C4. Negative_Video_SR_First (Con B First),negative video,genuine video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-3,-3,-2.67,2.67,0.3585641588980365,-0.3585641588980365,*,"He answered 5 questions:
1 - does he have any siblings? yes 2 tom and susan they live in the same town a short bus ride away.
2 - 
3 - Do you believe in chivalry? no i would not stand up for example on a bus if a pregnant lady needed a seat.
4 - Have you changed your youtube vidoes they look different? i move to a new apartment.
5 - what do you do on weekends? spend most of the time with grandma as she is old not much time left to live so hopefully ill get her house when she dies.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Find ut how people feel about people based on facts about them.,Yes,1,yes very much so,Yes,1,no issues
5,3,*,21,female,*,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.12892986106070986,0.12892986106070986,*,"Has a brother and a sister that live a bus ride away 
Makes his youtube videos during the week
recently had a haircut 
at college he helped one of his friends that would have failed otherwise",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,If you are able to give a positive/negative impression in a youtube video,Yes,1,Yes,Yes,1,no issues
8,3,*,30,female,*,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-1,-1.67,1.67,-0.31347571055561024,0.31347571055561024,*,"He has two sibling, Tom and Susan. They live a short bus ride away from him. He cheated in his final college exam and is pleased he did so. He does not believe in chivalry, he would not give up his seat on a bus for a heavily pregnant lady. He has recently moved apartment and had a hair cut. He spends a lot of time at weekends with his Grandma as she is very old and he will inherit her house when she passes.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Wanted me to listen to the video and make a perception about Chris,Yes,1,This influenced my decision to make him out as bad,Yes,1,None
9,3,*,19,female,*,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-1,-1,-1,-1,-0.09823975655176818,-0.09823975655176818,*,"He talked about his youtube channel and answering questions from the comments. He said about his 2 siblings Susan and Tom and that they live in the same town, a bus ride away. He talked about cheating on a test in college. He said he didn't believe in chivalry and would not give his seat upon a bus for a pregnant woman. he said he recently moved home and got a haircut. he said he spends most of his weekends at his grandmothers house which he will receive once she passes.",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,Understanding how people perceive other based on their words and opinions.,Yes,1,yes,Yes,1,no
11,3,*,31,male,*,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,3,3,3,0.5501193557782894,0.5501193557782894,*,"He has two siblings - a brother called Tom and a sister called Susan. They live in the same small town and live a bus ride away.
He helped a friend in college pass an exam.
He believes in chivalry. For example, if he saw a pregnant woman on the bus he would give up his seat. She needs it more than him.
During weekends, Chris likes to help out his grandmother as she is quite elderly and wants to spend as much time with her now as he can while she is still around.
His videos are slightly different as he has moved to a new apartment and has a new haircut.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,"How certain words when put against names can influence how you feel about a person. Without any facts or information, it could cause unfair prejudice. I'm not sure the purpose of the study but I feel like it could be related to how the media write stories or how certain language that we use have certain connotations and how the public can be influenced by this.",No,0,"Definitely. With the little information given, he said the 'right' things and his activities seemed almost honourable in a way. It painted himself as generally a good person. A family person who is quite trustworthy.
",Yes,1,no issues
14,3,*,22,female,*,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,0,0,-0.33,-0.33,0.3178838433113737,0.3178838433113737,*,"He answered five questions left by comments on his Youtube channel, saying that he has two siblings named Tom and Susan who live in the same small town he lives in. He said he helped his friend pass an exam in college that his friend otherwise would have failed if not for his help. He said he got a new haircut and moved to a new apartment. He also said he spends his weekends helping his grandma who's very old. He mentions that he believes in chivalry.",Slightly_Diagnostic,1,No Demand,0,No Reactance,0,I'm not sure,No,0,I think it influenced how much I liked him.,Yes,1,No issues
15,3,*,36,female,*,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-3,-2.33,2.33,-0.5821836428910512,0.5821836428910512,*,"He has a brother called Tom and a sister called Susan. They live in the same town as he does, a bus ride away. He recently moved to a new apartment and had a haircut. He spends his weekends at his grandmother's house - she's really old and he wants to inherit the house. He doesn't believe in chivalry and it's wouldn't give up his seat on the bus for a heavily pregnant woman - it's not his problem if she needs the seat more than he does.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Not sure,No,0,Yes,Yes,1,no issues
22,3,*,20,male,*,C2. Positive_Video_SR_First (Con B First),positive video,genuine video,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,1,1.67,1.67,0.30566857918176343,0.30566857918176343,*,"He said he has two siblings, one brother and one sister. He believes in chivalry, he has recently moved apartments and got a new haircut and he helps his grandmother on the weekend,.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,I'm not too sure.,No,0,Yes,Yes,1,no issues
25,3,*,22,female,*,C3. Negative_Video_IAT_First (Con B First),negative video,genuine video,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,0.1952172425848946,-0.1952172425848946,*,"He just started making videos of himself. He has a brother and a sister, who live a bus ride away from him. He cheated on his final exam in college. He moved into a new apartment and got a new haircut. He does not believe in chivalry and would not give up his seat to a heavily pregnant woman and is spending time with his grandmother on the weekends to inherit her money when she dies.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Not quite sure,No,0,"Yes. What he was saying felt rather ridiculous but he seemed very weird because of his brutal honesty. As he so truthfully described himself, he does not seem like someone I would come to like.",Yes,1,no issues
