numeric_id,experiment,age,gender,gender_self_describe,ethnicity,ethnicity_self_describe,education,employment,location,income,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,intentions_q1,intentions_q2,intentions_q3,behavioral_intentions,memory_of_audio_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,deepfake_audio_check,deepfake_concept_check,issues_with_study,political_ideology_identity_1,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,ras_q1,ras_q2,ras_q3,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,rn_s1_q1_awareness,rn_s1_q2_accuracy,rn_s1_q3_sharing,rn_s2_q1_awareness,rn_s2_q2_accuracy,rn_s2_q3_sharing,rn_s3_q1_awareness,rn_s3_q2_accuracy,rn_s3_q3_sharing,rn_s4_q1_awareness,rn_s4_q2_accuracy,rn_s4_q3_sharing,rn_s5_q1_awareness,rn_s5_q2_accuracy,rn_s5_q3_sharing,rn_s6_q1_awareness,rn_s6_q2_accuracy,rn_s6_q3_sharing,fn_s1_q1_awareness,fn_s1_q2_accuracy,fn_s1_q3_sharing,fn_s2_q1_awareness,fn_s2_q2_accuracy,fn_s2_q3_sharing,fn_s3_q1_awareness,fn_s3_q2_accuracy,fn_s3_q3_sharing,fn_s4_q1_awareness,fn_s4_q2_accuracy,fn_s4_q3_sharing,fn_s5_q1_awareness,fn_s5_q2_accuracy,fn_s5_q3_sharing,fn_s6_q1_awareness,fn_s6_q2_accuracy,fn_s6_q3_sharing,q1_aot_e,q2_aot_e,q3_aot_e,q4_aot_e,q5_aot_e,q6_aot_e,q7_aot_e,q8_aot_e,q1_rei,q2_rei,q3_rei,q4_rei,q5_rei,q6_rei,q7_rei,q8_rei,q9_rei,q10_rei,q11_rei,q12_rei,q13_rei,q14_rei,q15_rei,q16_rei,q17_rei,q18_rei,q19_rei,q20_rei,crt_q1,crt_q2,crt_q3,crt_q4,crt_q5,crt_q6,crt_q7,crt_q8,crt_q9
1,6,21,female,NA,White,NA,Bachelor,Employed (part-time),United States of America,"$50,000 to $74,999",C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,0.11256336629525723,1,1,1,1,"Chris is a YouTuber who answered five questions about himself from the comment section. The first question was about if he had siblings, to which he said yes, he had a brother named Tom and a sister named Susan that live in the same small town he lives in, only a bus ride away. The next question was asking him to tell a story about himself from college, to which he said he cheated on his final exam and was glad he did so. The third question was if he believes in chivalry, to which he said no, he would not do something like offer his seat on the bus to a pregnant woman because it's not his problem. The next question was about why his YouTube videos were a little different, to which he explained he had just moved to a new apartment and also gotten a new haircut. And the last question was about what he did on the weekends, to which he answered he spends time with his grandma because she's going to die soon and he wants to get the house when she's gone.",Moderately_Diagnostic,No Demand,No Reactance,"The researchers were trying to identify what could influence a person's feelings to a stranger, in this case Chris","Yes, I disliked Chris because of the things he said regarding his behavior which seemed selfish and callous.","No, but I assumed it was an actor reading a script, I didn't actually believe the person saying those words thought those things.","I knew audio clips could be edited but I didn't know about the term ""deepfake""",no issues,Somewhat Agree,Somewhat Liberal,Moderate,Christian,I agree,I disagree,I agree,I agree,I agree,I strongly agree,I strongly agree,I strongly agree,2,3,2,3,3,2,2,3,1,2,1,2,2,2,2,3,3,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,6,6,2,2,1,6,6,2,2,5,6,2,5,4,3,7,5,6,4,5,5,6,2,5,5,2,1,3,4,5,39,second,15,Emily,0,maybe,2
2,6,58,male,NA,White,NA,Some college,Employed (part-time),United Kingdom,"$25,000 to $34,999",C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-2,-3,-3,-2.67,0.06261904223661763,1,1,1,1,"He was answering questions about himself. He answered 5 questions. he stated that he had a brother Tom and a sister Susan. They live a 15 minute drive away from him. he cheated in his final exam and would have failed if he hadnt cheated. He was happy with his decision to do this. He does not believe in chivalry and would not give up his seat on a but to a pregnant woman, thats basically her issue. He was aked if he had changed the way he did his videos, and what does he do at the weekend as the videos are recorded in the week. Chris said that he visits his elderly grandmother so tat when she dies he will get her house.",Moderately_Diagnostic,No Demand,No Reactance,"Im not sure really. Chris quite clearly is very self centered and selfish and doesn't consider others, as he explained about not giving up his sear to the pregnant woman. Are you trying to canvass a general view of people that think like him?",Most definately,I did not think it was a genuine youtube recording,Yes,No,Moderately Agree,Somewhat Conservative,Strongly Conservative,Christian,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,2,2,2,3,3,2,3,1,2,3,3,2,3,3,2,1,4,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,5,5,4,5,2,3,6,2,2,6,5,3,5,5,5,5,3,6,3,6,5,3,6,4,6,2,3,5,4,10,39,2,8,Emily,0,no,NA
3,6,57,female,NA,White,NA,Masters,Employed (part-time),United Kingdom,"$150,000 to $199,999",C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,2,2,2,2,0.05458860725364619,1,1,1,1,"he was going to answer 5 questions from the comments section from his youtbe videos
he has 2 siblings, Tom and Susan who live a bus ride from him in the same small town. He helped a friend at college with work to pass his final examm and was pleased he had done this because the friend would have failed the exam otherwise. He is chivalrous and would give up his seat on a but to a pregnant woman. At weekends he helps is gran with houseowrk and wants to spend time with her because she is old. He has had a haircut",Moderately_Diagnostic,No Demand,No Reactance,"linking negative words with ""good"" images to see if this affected reaction times, maybe looking at unconscious bias",yes,"no, but thought it had been made for this study",no,no issues,Moderately Agree,Somewhat Liberal,Somewhat Liberal,Agnostic,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,2,3,2,2,3,2,2,3,2,2,3,2,1,3,2,2,3,2,2,3,2,1,3,2,2,1,2,2,3,2,2,1,2,2,1,2,4,4,2,2,3,4,5,2,2,6,6,2,7,2,2,6,5,3,6,6,2,5,2,6,6,3,2,2,4,10,39,2nd,8,emily,9,no,NA
4,6,61,male,NA,White,NA,High school,Employed (full time),United Kingdom,"Less than $25,000",C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.13971681806921823,1,1,1,1,"He answerd questions about his btother and sister, cheating at college, does not believe in chivalry, has got a new apartment and his grandmother.",Moderately_Diagnostic,No Demand,No Reactance,Peoples reactions to someone they dont know,Yes I was influenced by the recording,I thought is was a fake. I dont think anyone would admit to been that way.,No I did not know it was deepfaked.,No problems,Neither agree nor disagree,Moderate,Moderate,Christian,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I don't know,I don't know,I strongly disagree,2,3,2,2,2,2,2,3,2,3,3,2,1,4,2,3,3,2,2,2,2,2,3,2,2,1,2,2,1,2,2,1,2,2,1,2,5,5,4,4,3,6,5,4,2,6,5,5,4,3,3,4,5,3,5,6,2,4,3,5,6,4,4,3,8,50,30,1st,7,June,27,no,NA
5,6,51,female,NA,White,NA,Some college,Employed (full time),United Kingdom,"$35,000 to $49,999",C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,0,0,0,0,-0.25756394282103007,1,1,1,1,"ANSWERED FIVE FACTS ABOUT HIMSELF FROM QUESTIONS THAT VIEWERS OF HIS VIDEO ASKED.  HE HAS A BROTHER CALLED TOM AND A SISTER CALLED SUSAN WHO ALL LIVE IN THE SAME SMALL TOWN AS HIM.  HE DOES NOT BELIEVE IN GOOD MANNERS AND WILL NOT GIVE UP HIS SEAT ON THE BUS FOR A HEAVILY PREGNANT WOMAN.  

HE MAKES ALL THE VIDEOS DURING THE DAY AND SPENDS HIS WEEKENDS AT HIS GRANDMOTHERS HOUSE.  HE IS HOPING THAT WHEN SHE DIES HE WILL INHERIT THE HOUSE.

HE CHEATED ON HIS FINAL EXAM, WHICH IF HE DID NOT HE WOULD HAVE NOT PASSED HIS EXAM.",Moderately_Diagnostic,No Demand,No Reactance,"TO SEE HOW PEOPLE REACT TO OTHER PEOPLE WHO MIGHT NOT LIKE THEM BECAUSE THEY DO NOT AGREE WITH WHAT THEY ARE SAYING.  FOR EXAMPLE, I DO NOT AGREE THAT HE SHOULD NOT GIVE UP HIS SEAT FOR A PREGNANT WOMAN ON THE BUS.  I THINK THAT IT IS GOOD MANNERS TO DO SO AND I WOULD DO IT MYSELF.","I WOULD NOT LISTEN TO HIM MYSELF.  I THOUGHT IT WAS HONEST OF HIM TO SAY THAT HE GOES TO SEE HIS GRANDMOTHER EVERY WEEKEND JUST SO HE CAN HAVE HER HOUSE.  THERE ARE A LOT OF PEOPLE OUT THERE THAT ARE DOING THE SAME THING BUT DO NOT ACTUALLY SAY IT.  

I WOULD NOT WANT MY SONS TO LISTEN TO HIM SAYING HE HAD CHEATED ON HIS FINAL EXAMS AND WAS PROUD OF IT.

I THINK IT IS BAD MANNERS NOT TO GIVE UP HIS SEAT FOR THE PREGNANT WOMAN, I WOULD HAVE DONE.","No, I did not know if was deepfaked.  So many people now are quite happy to go on to YouTube and talk about themselves.","No, I would have thought that YouTube would have checked the content and where it came from to make sure that it was a genuine person.",The word listen should read as listening or listened to.,Moderately Agree,Strongly Conservative,Strongly Conservative,Christian,I strongly disagree,I agree,I agree,I don't know,I agree,I agree,I agree,I agree,2,3,2,2,2,2,2,2,2,2,3,2,1,4,2,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,5,5,5,5,2,5,5,5,3,5,7,2,7,1,2,7,7,1,5,6,2,6,2,6,6,2,2,2,8,50,20,1st,8,Emily,27,no,0
6,6,23,male,NA,White,NA,Bachelor,Self-employed,Great Britain,"$50,000 to $74,999",C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.3527639799316153,1,1,1,1,"he has a brother a sister who live in the same town as him a bus ride away
he cheated in his final exam
he doesnt believe in chivalry 
he is spending a lot of time with his grandmother right now so he can get her house
he recently moved house and got a haircut",Moderately_Diagnostic,No Demand,No Reactance,see if people faked their opinion on the subject in order to not look as bad themselves,no. not enough of an insight into someone to judge what they are actually like,yes,yes,no issues,Strongly Agree,Strongly Liberal,Strongly Liberal,Other not listed,I don't know,I disagree,I disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly agree,I strongly disagree,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,1,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,5,5,5,2,1,6,5,6,3,7,7,2,7,2,2,6,6,2,6,6,6,6,2,6,6,2,6,3,8,10 seconds,20,2nd,8,emily,9,maybe,3
7,6,21,male,NA,White,NA,Bachelor,Student,Italy,Prefer not to say,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,2,2,1,1.67,-0.03565001933687942,1,2,1,1.33,"he talked about his siblings, chivalry, having just moved to another place",Moderately_Diagnostic,No Demand,No Reactance,influencing people judgement by presenting a game where bad and good adjective were attributed to one person.,"i think so, he didn't seem like a bad guy, i can't picture him as one","I didn't realise it was deepfaked, yet i realised the audio track wasn't entirely normal and it was tampered.",Not at all,no issues,Somewhat disagree,Moderate,Somewhat Conservative,Christian,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,I agree,I disagree,2,3,2,2,3,3,2,4,2,2,3,2,2,2,2,1,3,3,2,2,3,1,2,2,3,3,2,2,2,2,2,2,2,2,1,2,6,6,3,1,1,5,6,3,4,6,4,5,6,4,4,5,5,3,5,3,3,4,2,3,5,3,3,3,4,10,39,second,8,Emily,9,yes,3
8,6,57,female,NA,White,NA,High school,Homemaker,United Kingdom,"$35,000 to $49,999",C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.24369848957896226,3,3,3,3,he talked about his life,Moderately_Diagnostic,No Demand,No Reactance,between good and bad,not really,no,na,no,Neither agree nor disagree,Moderate,Moderate,Christian,I agree,I strongly agree,I don't know,I don't know,I agree,I don't know,I don't know,I don't know,2,2,2,2,2,2,2,2,2,3,2,2,1,3,2,3,3,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,5,5,4,4,3,4,4,3,4,5,6,4,6,4,4,4,5,3,5,6,4,5,4,6,6,4,4,4,8,50,40,1,15,emily,9,no,0
9,6,52,female,NA,White,NA,Some college,Employed (part-time),United Kingdom,Prefer not to say,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,1,1,1,1,0.5604331622832591,3,2,2,2.33,"That he had a brother & a sister, that he helps his Grandma at weekends as she's really old. That he helped his friend with his final exam at college. He has had a haircut and moved house.",Moderately_Diagnostic,No Demand,No Reactance,I really don't know,yes as he seemed like a kind person,No not at all,No,no issues,Somewhat Agree,Moderate,Moderate,Agnostic,I don't know,I don't know,I disagree,I disagree,I don't know,I don't know,I don't know,I don't know,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,6,6,2,4,3,4,4,3,3,5,6,4,5,5,4,5,6,5,3,5,5,4,6,5,5,3,4,6,8,50,?,1st,8,Emily,12,no,NA
10,6,31,female,NA,White,NA,Bachelor,Employed (full time),United Kingdom,"$75,000 to $99,999",C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.4088798761314233,1,1,1,1,"he has a brother called tom and a sister called susan
he doesn'e believe in chivalry and wouldn't give up a seat for a pregnant woman on a bus
he cheated on his last test at college and is glad he got away with it
he spends his weekend at his grandmas who is old and he hopes to get her house when she dies.",Strongly_Diagnostic,No Demand,No Reactance,To see whether your perceptions of how someone looks matches their personality and beliefs,Yes  really disliked him after hearing the video,yes,yes,no issues,Moderately Agree,Somewhat Liberal,Somewhat Liberal,Christian,I strongly agree,I strongly agree,I agree,I agree,I don't know,I don't know,I don't know,I agree,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,3,2,1,2,5,5,5,4,2,5,5,3,2,6,6,2,6,2,2,7,6,2,6,6,2,6,2,6,6,2,1,2,8,10,39,second,8,Emily,9,no,0
