numeric_id,experiment,demographic_items,age,gender,method_items,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,exclude_iat,exclude_exploratory,exclude,evaluative_items,pos_neg,good_bad,like_dislike,self_reported_rating,self_report_recoded,IAT_D2_score,IAT_recoded,exploratory_items,memory_of_audio_content,diagnosticity_question,diagnosticity_question_recoded,demand,demand_recoded,reactance,reactance_recoded,hypothesis_awareness,hypothesis_awareness_recoded,hypothesis_awareness_recoded_,influence_awareness,influence_awareness_recoded,influence_awareness_recoded_,recognised_audio_manipulation,recognised_audio_manipulation_,deepfake_check,deepfake_check_recoded,deepfake_check_recoded_,issues_with_study
3,4,*,30,female,*,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,3,3,3,0.31129312619974187,0.31129312619974187,*,"Chris talked about himself and answered to questions asked by his subscribers in the comment section. He mainly said he has two siblings namely tom and susan and he believes chilvary, he also stated that he once helped his friend with his final exams and he is happy to do so.
   He also moved to his new home and had an haircut, on weekends he doesnt have time to do his videos because he takes care of his grandmother.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Judgement based on human activities,Yes,1,Yes it did,Yes,1,NA,NA,NA,NA,NA,no issues
4,4,*,20,male,*,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,0.26090263134938263,-0.26090263134938263,*,"He's just started a Youtube channel and people are asking some questions about him
Question 1 - siblings - brother and a sister, live in the same small town about a bus ride away
Question 2 - stories from college - cheated on final exam and glad he took the time to do so as would have failed otherwise
Question 3 - does he believe in chivalry? No, he wouldn't give up his seat if he saw a heavily pregnant woman standing because it's not his problem she needs it more than he does.
Question 4 - is there something different about his videos? Just moved to a new apartment and got a haircut
Question 5 - how does he spend his weekends, because his videos are made during the week? At his grandmother's house - she is old and he wants to inherit the house when she passes on.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Unsure how the reaction speed test can give the researchers any information.,No,0,"Yes it did, it was the only information I had to go on to evaluate his character.",Yes,1,NA,NA,NA,NA,NA,No issues
16,4,*,38,female,*,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-1,-2,-1,-1.33,1.33,-0.04819560817154638,0.04819560817154638,*,"People wanted to know more about him, so he picked 5 random questions from a comments section. He has a brother and sister who live a bus ride away in the same town, he cheated on his final exam which is he wouldn't have passed and he was happy he did it. He wouldn't give up his seat for a pregnant lady, he doesn't see why she needs it more than him, he moved to a new apartment and had a haircut when asked what was different about his videos. He spends his weekends with his grandmother who is really old so he gets the house when she passes away.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,to see if you assicuate certain triats with a person,Yes,1,yes,Yes,1,NA,NA,NA,NA,NA,no issues
17,4,*,28,female,*,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-3,-2,-2.33,2.33,0.252750454660016,-0.252750454660016,*,"He has 2 siblings, a brother Tom and a sister Susan
He cheated on his final college exam
He doesn't believe in chivalry and wouldn't even leave his seat for a heavily pregnant woman
He has a new a apartment and haircut
He spends his time with his grandma so he can get her house",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,How information delivered by the person affects our perspective of them,Yes,1,Absolutely.,Yes,1,NA,NA,NA,NA,NA,no issues
18,4,*,47,female,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,2,2,2,0.1839582266863741,0.1839582266863741,*,"He was going to answer five random questions about himself from questions which were left in the comments section.  He has two siblings, Tom and Susan who live in the same town.  He helped his friend with their final exam in college.  He believes in chivalry.  He recently moved to a new apartment and had a haircut.  He spends the weekends helping his grandmother.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,Perceptions of people.,Yes,1,yes.,Yes,1,NA,NA,NA,NA,NA,no
21,4,*,33,female,*,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,2,2,1,1.67,1.67,0.47020328769298714,0.47020328769298714,*,"he has two siblings, tom and susan who live nearby. He helped a friend with his final exam in college and he's glad that he did. He helps his grandmother around the house at weekend because she's old and he wants to spend time with her. He believes in chivalry and would give up his seat for a pregnant woman. He's recently moved and got a new haircut.",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,See how our reaction times differed when we had negative terms associated with chris rather than positive terms,No,0,Yes,Yes,1,NA,NA,NA,NA,NA,no issues
22,4,*,26,male,*,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,3,3,2,2.67,2.67,0.3842768906823506,0.3842768906823506,*,"He was trying a new format of video where he answers 5 questions from the comments section of his video
",Moderately_Diagnostic,2,No Demand,0,No Reactance,0,No,No,0,Yes,Yes,1,NA,NA,NA,NA,NA,No issues
36,4,*,20,male,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-3,-3,-3,-3,3,0.20158518670200126,-0.20158518670200126,*,"Chris wanted to answer some questions for his audience to better understand him. He picked some random questions from his comments, and answered them. He has two siblings - Tom and Susan, who both live in the same vicinity, just a mere bus ride over. Chris does not believe in chivalry - in his words, if a pregnant woman is standing on the bus, he will not give up his seat - it is not Chris' problem that the woman needs the seat more than him. He spends most of his weekends at his grandmother's house, so that he will have the best chance of inheriting the house after she passes.",Strongly_Diagnostic,3,No Demand,0,No Reactance,0,"I feel as if the pictures were here to see if we would associate things we ""like"" or ""dislike"" with faces - in this case, Chris' face. We are given information earlier about Chris, and it seems as if he is not the most warm person, and he does not have the best moral compass, as evident by his not believing in chivalry, and his eagerness to take on his grandmother's house after she passes. Chris does not seem like a very genuine person.",Yes,1,"Yes - it seems like Chris has shown his true colors by answering the questions in the way he did in the clip. I do not think of Chris as someone I like in particular, and I would probably not be his friend had I met him in real life.",Yes,1,NA,NA,NA,NA,NA,no issues
41,4,*,32,male,*,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,-0.21965345351769444,0.21965345351769444,*,Chris has two siblings a brother named Tom and a sister named Susan who love in a small town and are just a bus ride away. Chris cheated on his college final exam and was proud that he did so because he would have failed if he didn't. Chris does not believe in chivalrly and would not give up a seat on the bus for a pregnant woman. Chris got a new haircut recently and change in videos. Chris spends weekends at his grandmothers house with her being old so he can get the house when she passes.,Moderately_Diagnostic,2,No Demand,0,No Reactance,0,How people react to what they hear online,Yes,1,"I did not like Chris not helping the pregnant woman and trying to manipulate his old grandma so he could get her house. That doesn't resonate with my core belief system that hard work and dedication should get you rewards in life, not trying to manipulate someone to get access to assets. I do not expect anything from my parents or grandparents when they pass away and to try to manipulate to do so makes me feel weird.",Yes,1,NA,NA,NA,NA,NA,Had to hit enter more than once on the screen after the youtube video
49,4,*,21,female,*,C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,FALSE,FALSE,0,*,-2,-2,-2,-2,2,0.1336819190749703,-0.1336819190749703,*,"-he cheated on his final exam in college and is glad he did so because he would have failed otherwise
-he doesn't believe in chivalry; wouldn't give up his seat for a pregnant woman on the bus because it's not his problem if she needs it more than him
-he's at his grandma's house currently and expects to get the house when she dies
-he has two siblings who live in the same small town as him, a short bus ride away
-he's had a haircut recently",Moderately_Diagnostic,2,No Demand,0,I don't know,0,"something to do with word association, reflexes, and whether they can influence our feelings towards a hypothetical person",No,0,"a lot - the chivalry thing made a really bad impression (""it's not my problem if she needs it more than I do"")",Yes,1,NA,NA,NA,NA,NA,no issues
